"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"50","Mia","Bau Hansen","DEN","F",0,0,0,0,0,0,0,"9:33",0,0,0
"13","Michele","Brix Nielsen","DEN","F",0,0,0,0,0,2,0,"4:01",0,0,0.2
"27","Lilli","Friis-Hansen","DEN","F",0,0,0,0,0,0,0,"12:03",0,0,0
"80","Julie","Funch Østergaard","DEN","F",0,0,0,0,0,2,0,"16:13",4,5,0.09
"4","Silke","Glud","DEN","F",0,1,0,1,1,0,0,"4:55",0,0,0.66
"63","Josefine","Jakobsen","DEN","F",0,0,0,0,0,4,0,"23:40",8,5,0.73
"14","Nicoline","Jensen","DEN","F",0,1,1,0,1,1,2,"21:08",4,9,0.15
"23","Julie","Oksbjerg","DEN","F",0,0,0,0,0,0,0,"4:04",0,0,0
"8","Josefine","Persson","DEN","F",0,0,0,0,0,5,0,"23:06",0,0,0.5
"18","Maria","Peters","DEN","F",0,0,0,0,0,1,0,"19:18",0,0,0.1
"68","Emma","Russell","DEN","F",0,0,0,0,0,0,0,"6:04",0,0,0
"17","Sofia","Skriver","DEN","F",0,0,0,0,0,1,0,"9:19",0,0,0.1
"21","Michelle","Weis","DEN","F",0,0,0,0,0,2,0,"22:34",6,3,0.53
"11","Amalie","Andersen","DEN","D",0,0,0,0,0,0,0,"20:10",0,0,0
"19","Josephine","Asperup","DEN","D",0,0,0,0,0,1,4,"23:05",0,0,-0.5
"89","Malene","Frandsen","DEN","D",1,0,0,0,1,2,0,"20:33",0,0,1.2
"87","Simone","Jacquet Thrysøe","DEN","D",0,0,0,0,0,2,0,"17:17",0,0,0.2
"2","Kristine","Melberg","DEN","D",0,0,0,0,0,0,0,"15:02",0,0,0
"15","Amanda","Refsgaard","DEN","D",0,0,0,0,0,0,0,"17:23",0,0,0
"22","Sofie","Skott","DEN","D",0,0,0,0,0,0,0,"0:00",0,0,0
"30","Lisa","Jensen","DEN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"72","Cassandra","Repstock-Romme","DEN","G",0,0,0,0,0,0,0,"59:54",0,0,0
"23","Xin","Fang","CHN","F",0,0,0,0,0,1,0,"11:27",0,0,0.1
"26","Yingying","Guan","CHN","F",0,0,0,0,0,0,0,"2:11",0,0,0
"10","Xin","He","CHN","F",0,0,0,0,0,0,0,"2:39",0,0,0
"15","Baozhen","Hu","CHN","F",0,0,0,0,0,2,2,"20:00",0,0,-0.1
"17","Mulan","Kang","CHN","F",0,0,0,0,0,7,0,"16:58",0,0,0.7
"44","Beika","Li","CHN","F",0,0,0,0,0,1,2,"18:20",4,9,-0.75
"19","Jiaxin","Lin","CHN","F",0,0,0,0,0,1,0,"15:02",2,2,0.1
"91","Ni","Lin","CHN","F",1,0,0,0,1,2,0,"25:07",0,1,1.09
"8","Qiqi","Lin","CHN","F",2,1,1,0,3,5,0,"24:19",0,0,3.4
"34","Le","Mi","CHN","F",0,0,0,0,0,4,0,"25:03",16,10,1.06
"7","Mengying","Zhang","CHN","F",0,0,0,0,0,2,0,"14:31",0,0,0.2
"98","Rui","Zhu","CHN","F",0,0,0,0,0,0,0,"1:55",0,0,0
"28","Anna","Fei","CHN","D",0,0,0,0,0,0,0,"10:53",0,0,0
"5","Huier","Huang","CHN","D",0,0,0,0,0,1,0,"24:33",0,0,0.1
"66","Qianhua","Li","CHN","D",0,0,0,0,0,0,0,"0:00",0,0,0
"93","Zhixin","Liu","CHN","D",0,0,0,0,0,2,0,"20:08",0,0,0.2
"49","Yuting","Wang","CHN","D",0,1,0,1,1,0,0,"28:10",0,0,0.66
"2","Baiwei","Yu","CHN","D",0,1,1,0,1,3,2,"22:34",0,0,0.9
"97","Qinan","Zhao","CHN","D",0,0,0,0,0,1,0,"8:38",0,0,0.1
"88","Tiya","Chen","CHN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"33","Jiaying","Zhou","CHN","G",0,0,0,0,0,0,0,"60:00",0,0,0
