"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"13","Moeko","Fujimoto","JPN","F",0,0,0,0,0,0,0,"6:56",0,4,-0.44
"27","Remi","Koyama","JPN","F",0,0,0,0,0,4,0,"13:40",0,0,0.4
"21","Hanae","Kubo","JPN","F",0,1,1,0,1,1,0,"13:22",0,0,1
"11","Mei","Miura","JPN","F",0,1,1,0,1,0,2,"7:04",0,0,0.6
"12","Chiho","Osawa","JPN","F",0,0,0,0,0,2,0,"17:39",0,0,0.2
"19","Chika","Otaki","JPN","F",0,0,0,0,0,3,0,"5:49",0,0,0.3
"16","Akane","Shiga","JPN","F",1,0,0,0,1,8,2,"17:13",0,0,1.5
"22","Miho","Shishiuchi","JPN","F",0,0,0,0,0,0,0,"3:55",0,0,0
"18","Suzuka","Taka","JPN","F",0,0,0,0,0,4,0,"16:00",4,5,0.29
"14","Haruka","Toko","JPN","F",1,2,1,1,3,3,0,"19:55",15,4,4.07
"15","Rui","Ukita","JPN","F",1,0,0,0,1,5,0,"20:48",0,0,1.5
"23","Hikaru","Yamashita","JPN","F",1,1,1,0,2,5,0,"11:46",0,0,2.4
"10","Haruna","Yoneyama","JPN","F",1,0,0,0,1,2,4,"17:34",7,13,-0.06
"8","Akane","Hosoyamada","JPN","D",0,0,0,0,0,1,0,"23:55",0,0,0.1
"7","Yukiko","Kawashima","JPN","D",0,0,0,0,0,0,0,"10:00",0,0,0
"2","Shiori","Koike","JPN","D",0,2,0,2,2,1,0,"22:50",0,0,1.42
"3","Aoi","Shiga","JPN","D",0,1,1,0,1,0,0,"23:08",0,0,0.9
"6","Sena","Suzuki","JPN","D",0,0,0,0,0,0,0,"12:34",0,0,0
"4","Ayaka","Toko","JPN","D",1,1,0,1,2,3,0,"22:57",0,0,1.96
"28","Shiori","Yamashita","JPN","D",0,0,0,0,0,0,0,"3:23",0,0,0
"1","Nana","Fujimoto","JPN","G",0,0,0,0,0,0,0,"50:25",0,0,0
"30","Akane","Konishi","JPN","G",0,0,0,0,0,0,0,"9:35",0,0,0
"50","Mia","Bau Hansen","DEN","F",1,0,0,0,1,4,0,"10:40",0,0,1.4
"13","Michele","Brix Nielsen","DEN","F",0,0,0,0,0,0,0,"8:17",0,1,-0.11
"27","Lilli","Friis-Hansen","DEN","F",0,0,0,0,0,0,2,"8:01",0,1,-0.41
"80","Julie","Funch Østergaard","DEN","F",0,0,0,0,0,2,2,"12:42",5,5,-0.1
"4","Silke","Glud","DEN","F",0,0,0,0,0,0,0,"18:23",0,0,0
"63","Josefine","Jakobsen","DEN","F",1,0,0,0,1,2,0,"23:40",9,8,1.31
"14","Nicoline","Jensen","DEN","F",0,1,1,0,1,1,2,"18:35",10,6,1.14
"23","Julie","Oksbjerg","DEN","F",0,0,0,0,0,2,0,"9:46",0,0,0.2
"8","Josefine","Persson","DEN","F",0,1,1,0,1,2,0,"23:07",0,0,1.1
"18","Maria","Peters","DEN","F",0,0,0,0,0,0,0,"10:11",0,0,0
"68","Emma","Russell","DEN","F",0,0,0,0,0,0,0,"8:40",0,0,0
"17","Sofia","Skriver","DEN","F",0,0,0,0,0,0,0,"7:55",0,0,0
"21","Michelle","Weis","DEN","F",0,1,0,1,1,2,0,"19:12",2,5,0.53
"11","Amalie","Andersen","DEN","D",0,0,0,0,0,2,0,"18:49",0,0,0.2
"19","Josephine","Asperup","DEN","D",0,0,0,0,0,0,2,"22:06",0,0,-0.3
"89","Malene","Frandsen","DEN","D",0,0,0,0,0,1,0,"20:24",0,0,0.1
"87","Simone","Jacquet Thrysøe","DEN","D",0,0,0,0,0,1,0,"17:03",0,0,0.1
"2","Kristine","Melberg","DEN","D",0,0,0,0,0,0,0,"15:43",0,0,0
"15","Amanda","Refsgaard","DEN","D",0,0,0,0,0,1,0,"17:42",0,0,0.1
"22","Sofie","Skott","DEN","D",0,0,0,0,0,0,0,"0:00",0,0,0
"30","Lisa","Jensen","DEN","G",0,0,0,0,0,0,0,"46:10",0,0,0
"72","Cassandra","Repstock-Romme","DEN","G",0,0,0,0,0,0,0,"13:50",0,0,0
