"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"26","Emily","Clark","CAN","F",1,0,0,0,1,8,0,"16:22",0,0,1.8
"15","Mélodie","Daoust","CAN","F",0,1,1,0,1,1,0,"12:15",0,0,1
"10","Sarah","Fillier","CAN","F",0,1,0,1,1,3,0,"13:43",6,7,0.85
"19","Brianne","Jenner","CAN","F",1,1,0,1,2,9,0,"15:39",0,2,2.34
"6","Rebecca","Johnston","CAN","F",0,3,2,1,3,3,0,"13:30",0,0,2.76
"27","Emma","Maltais","CAN","F",1,0,0,0,1,5,0,"14:09",5,4,1.61
"20","Sarah","Nurse","CAN","F",0,4,4,0,4,1,0,"17:12",3,1,3.92
"29","Marie-Philip","Poulin","CAN","F",2,0,0,0,2,3,0,"14:20",13,4,3.29
"47","Jamie Lee","Rattray","CAN","F",1,0,0,0,1,1,0,"7:43",0,0,1.1
"11","Jill","Saulnier","CAN","F",0,1,0,1,1,3,0,"11:01",0,0,0.96
"24","Natalie","Spooner","CAN","F",0,1,0,1,1,4,0,"12:00",0,0,1.06
"7","Laura","Stacey","CAN","F",0,1,1,0,1,2,2,"10:28",0,0,0.8
"40","Blayre","Turnbull","CAN","F",1,1,0,1,2,5,2,"14:47",9,9,1.86
"23","Erin","Ambrose","CAN","D",1,1,1,0,2,3,0,"18:03",0,0,2.2
"21","Ashton","Bell","CAN","D",0,0,0,0,0,3,0,"14:10",0,0,0.3
"14","Renata","Fast","CAN","D",1,0,0,0,1,3,2,"21:35",0,0,1
"28","Micah","Hart","CAN","D",0,0,0,0,0,0,2,"17:34",0,0,-0.3
"3","Jocelyne","Larocque","CAN","D",0,0,0,0,0,1,0,"21:19",0,0,0.1
"17","Ella","Shelton","CAN","D",0,0,0,0,0,0,0,"10:08",0,0,0
"42","Claire","Thompson","CAN","D",1,2,1,1,3,3,0,"16:04",0,0,2.86
"35","Ann-Renée","Desbiens","CAN","G",0,0,0,0,0,0,0,"60:00",0,0,0
"38","Emerance","Maschmeyer","CAN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"21","Rahel","Enzler","SUI","F",0,0,0,0,0,0,0,"10:15",0,0,0
"71","Lena-Marie","Lutz","SUI","F",0,0,0,0,0,0,0,"12:37",0,0,0
"98","Keely","Moy","SUI","F",0,0,0,0,0,0,0,"11:54",0,1,-0.11
"25","Alina","Müller","SUI","F",1,1,1,0,2,2,0,"19:04",13,13,2.1
"8","Kaleigh","Quennec","SUI","F",0,0,0,0,0,0,0,"8:07",0,0,0
"14","Evelina","Raselli","SUI","F",0,0,0,0,0,0,0,"22:01",9,11,-0.22
"26","Dominique","Rüegg","SUI","F",0,0,0,0,0,1,0,"16:57",0,0,0.1
"24","Noemi","Ryhner","SUI","F",0,0,0,0,0,0,0,"16:00",1,6,-0.55
"88","Phoebe","Staenz","SUI","F",0,0,0,0,0,3,0,"21:52",0,0,0.3
"7","Lara","Stalder","SUI","F",2,1,1,0,3,5,2,"20:39",0,0,3.1
"15","Laura","Zimmermann","SUI","F",0,0,0,0,0,1,2,"10:34",0,0,-0.2
"23","Nicole","Bullo","SUI","D",0,0,0,0,0,0,0,"15:44",0,0,0
"17","Lara","Christen","SUI","D",0,0,0,0,0,0,0,"19:08",0,0,0
"3","Sarah","Forster","SUI","D",0,0,0,0,0,0,0,"10:23",0,0,0
"22","Sinja","Leemann","SUI","D",0,0,0,0,0,0,0,"19:49",0,0,0
"28","Alina","Marti","SUI","D",0,0,0,0,0,0,0,"9:39",4,5,-0.11
"9","Shannon","Sigrist","SUI","D",0,0,0,0,0,0,0,"12:55",0,0,0
"16","Nicole","Vallario","SUI","D",0,0,0,0,0,1,0,"18:30",0,0,0.1
"18","Stefanie","Wetli","SUI","D",0,0,0,0,0,0,0,"12:18",0,0,0
"20","Andrea","Brändli","SUI","G",0,0,0,0,0,0,0,"9:21",0,0,0
"29","Saskia","Maurer","SUI","G",0,0,0,0,0,0,0,"50:39",0,0,0
