"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
337982,"CAN","GUSHUE Brad","GUSHUE B","Brad","Gushue","4-S",5,"20","9","11","8","12","90","89","91","100","83"
603636,"CAN","NICHOLS Mark","NICHOLS M","Mark","Nichols","3-V",5,"20","7","13","8","12","80","82","79","81","79"
723800,"CAN","KENNEDY Marc","KENNEDY M","Marc","Kennedy","A",5,"0","0","0","0","0","-","-","-","-","-"
771068,"CAN","GALLANT Brett","GALLANT B","Brett","Gallant","2",5,"20","8","12","13","7","88","84","90","85","93"
1158314,"CAN","WALKER Geoff","WALKER G","Geoff","Walker","1",5,"20","5","15","19","1","89","95","87","88","100"
931795,"CHN","MA Xiuyue","MA X","Xiuyue","Ma","4-S",5,"20","13","7","7","13","69","67","71","79","63"
1022642,"CHN","JIANG Dongxu","JIANG D","Dongxu","Jiang","A",5,"0","0","0","0","0","-","-","-","-","-"
1149950,"CHN","XU Jingtao","XU J","Jingtao","Xu","1",5,"20","6","14","20","0","86","71","93","86","-"
1221197,"CHN","WANG Zhiyu","WANG Z","Zhiyu","Wang","2",5,"20","9","11","7","13","89","86","91","93","87"
1326608,"CHN","ZOU Qiang","ZOU Q","Qiang","Zou","3-V",5,"20","6","14","7","13","86","88","86","96","81"
