"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
931795,"CHN","MA Xiuyue","MA X","Xiuyue","Ma","4-S",5,"20","13","7","9","11","79","83","71","72","84"
1022642,"CHN","JIANG Dongxu","JIANG D","Dongxu","Jiang","A",5,"0","0","0","0","0","-","-","-","-","-"
1149950,"CHN","XU Jingtao","XU J","Jingtao","Xu","1",5,"20","4","16","15","5","98","100","97","97","100"
1221197,"CHN","WANG Zhiyu","WANG Z","Zhiyu","Wang","2",5,"20","5","15","10","10","91","85","93","90","93"
1326608,"CHN","ZOU Qiang","ZOU Q","Qiang","Zou","3-V",5,"20","11","9","8","12","76","80","72","97","63"
1022644,"GBR","MCMILLAN Hammy","MCMILLAN H","Hammy","McMillan","1",5,"18","6","12","11","7","92","79","98","95","86"
1366640,"GBR","LAMMIE Bobby","LAMMIE B","Bobby","Lammie","2",5,"20","7","13","3","17","83","86","81","100","79"
1366641,"GBR","MOUAT Bruce","MOUAT B","Bruce","Mouat","4-S",5,"20","14","6","5","15","99","98","100","100","98"
1475594,"GBR","WHYTE Ross","WHYTE R","Ross","Whyte","A",5,"0","0","0","0","0","-","-","-","-","-"
1716751,"GBR","HARDIE Grant","HARDIE G","Grant","Hardie","3-V",5,"20","9","11","4","16","90","89","91","94","89"
