"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
721999,"DEN","KRAUSE Mikkel","KRAUSE M","Mikkel","Krause","4-S",5,"22","8","14","4","18","78","84","75","88","76"
841707,"DEN","JACOBSEN Tobias Thune","JACOBSEN TT","Tobias Thune","Jacobsen","A",5,"0","0","0","0","0","-","-","-","-","-"
931773,"DEN","NOERGAARD Mads","NOERGAARD M","Mads","Nørgaard","3-V",5,"22","10","12","6","16","91","80","100","79","95"
1629089,"DEN","WIKSTEN Kasper","WIKSTEN K","Kasper","Wiksten","1",5,"22","9","13","20","2","89","92","87","88","100"
2032356,"DEN","HOLTERMANN Henrik","HOLTERMANN H","Henrik","Holtermann","2",5,"22","9","13","6","16","67","61","71","46","75"
338062,"NOR","NERGAARD Torger","NERGAARD T","Torger","Nergård","3-V",5,"22","13","9","11","11","84","83","86","98","70"
721983,"NOR","WALSTAD Steffen","WALSTAD S","Steffen","Walstad","4-S",5,"22","7","15","7","15","88","82","90","86","88"
721985,"NOR","HOEIBERG Markus","HOEIBERG M","Markus","Høiberg","2",5,"22","8","14","11","11","77","72","80","75","80"
841718,"NOR","NEDREGOTTEN Magnus","NEDREGOTTEN M","Magnus","Nedregotten","A",5,"0","0","0","0","0","-","-","-","-","-"
1637023,"NOR","TRULSEN VAAGBERG Magnus","TRULSEN VAAGBERG M","Magnus","Trulsen Vågberg","1",5,"22","5","17","21","1","91","75","96","90","100"
