"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
428699,"ITA","RETORNAZ Joel","RETORNAZ J","Joel","Retornaz","4-S",5,"19","11","8","9","10","64","64","66","69","60"
1022627,"ITA","MOSANER Amos","MOSANER A","Amos","Mosaner","3",5,"20","11","9","6","14","83","86","78","83","82"
1022667,"ITA","ARMAN Sebastiano","ARMAN S","Sebastiano","Arman","2",5,"20","14","6","13","7","88","84","96","83","96"
1158337,"ITA","GONIN Simone","GONIN S","Simone","Gonin","1-V",5,"20","9","11","20","0","85","86","84","85","-"
1954347,"ITA","GIOVANELLA Mattia","GIOVANELLA M","Mattia","Giovanella","A",5,"0","0","0","0","0","-","-","-","-","-"
910440,"ROC","KALALB Anton","KALALB A","Anton","Kalalb","1",5,"20","5","15","19","1","86","90","85","86","100"
1149944,"ROC","MIRONOV Dmitry","MIRONOV D","Dmitry","Mironov","2-V",5,"19","9","10","9","10","83","81","85","83","83"
1149969,"ROC","GLUKHOV Sergey","GLUKHOV S","Sergey","Glukhov","4-S",5,"19","9","10","10","9","84","81","88","85","83"
1482294,"ROC","GORYACHEV Daniil","GORYACHEV D","Daniil","Goryachev","A",5,"0","0","0","0","0","-","-","-","-","-"
1570482,"ROC","KLIMOV Evgeny","KLIMOV E","Evgeny","Klimov","3",5,"20","11","9","5","15","88","91","83","85","88"
