"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
706865,"SWE","EDIN Niklas","EDIN N","Niklas","Edin","4-S",5,"16","9","7","7","9","100","100","100","100","100"
721971,"SWE","ERIKSSON Oskar","ERIKSSON O","Oskar","Eriksson","3-V",5,"16","5","11","5","11","84","70","91","75","89"
771099,"SWE","SUNDGREN Christoffer","SUNDGREN C","Christoffer","Sundgren","1",5,"16","1","15","14","2","91","100","90","93","75"
1025620,"SWE","WRANA Rasmus","WRANA R","Rasmus","Wrana","2",5,"16","5","11","6","10","88","70","95","79","93"
1776684,"SWE","MAGNUSSON Daniel","MAGNUSSON D","Daniel","Magnusson","A",5,"0","0","0","0","0","-","-","-","-","-"
428699,"ITA","RETORNAZ Joel","RETORNAZ J","Joel","Retornaz","4-S",5,"16","8","8","12","4","73","69","78","69","88"
1022627,"ITA","MOSANER Amos","MOSANER A","Amos","Mosaner","3",5,"16","10","6","10","6","78","73","88","70","92"
1022667,"ITA","ARMAN Sebastiano","ARMAN S","Sebastiano","Arman","2",5,"16","10","6","11","5","80","83","75","75","90"
1158337,"ITA","GONIN Simone","GONIN S","Simone","Gonin","1-V",5,"16","9","7","16","0","92","92","93","92","-"
1954347,"ITA","GIOVANELLA Mattia","GIOVANELLA M","Mattia","Giovanella","A",5,"0","0","0","0","0","-","-","-","-","-"
