"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
458196,"USA","SHUSTER John","SHUSTER J","John","Shuster","4-S",5,"19","7","12","5","14","76","82","73","85","73"
721966,"USA","PLYS Chris","PLYS C","Chris","Plys","3-V",5,"20","10","10","11","9","80","70","90","82","78"
721969,"USA","HAMILTON Matt","HAMILTON M","Matt","Hamilton","2",5,"20","16","4","9","11","73","70","81","72","73"
931762,"USA","LANDSTEINER John","LANDSTEINER J","John","Landsteiner","1",5,"20","8","12","17","3","84","75","90","81","100"
1221219,"USA","HUFMAN Colin","HUFMAN C","Colin","Hufman","A",5,"0","0","0","0","0","-","-","-","-","-"
338062,"NOR","NERGAARD Torger","NERGAARD T","Torger","Nergård","3-V",5,"20","13","7","8","12","95","92","100","88","100"
721983,"NOR","WALSTAD Steffen","WALSTAD S","Steffen","Walstad","4-S",5,"20","8","12","13","7","76","88","69","67","93"
721985,"NOR","HOEIBERG Markus","HOEIBERG M","Markus","Høiberg","2",5,"20","4","16","9","11","81","81","81","83","80"
841718,"NOR","NEDREGOTTEN Magnus","NEDREGOTTEN M","Magnus","Nedregotten","A",5,"0","0","0","0","0","-","-","-","-","-"
1637023,"NOR","TRULSEN VAAGBERG Magnus","TRULSEN VAAGBERG M","Magnus","Trulsen Vågberg","1",5,"20","1","19","15","5","84","100","83","78","100"
