"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
458196,"USA","SHUSTER John","SHUSTER J","John","Shuster","4-S",5,"18","8","10","7","11","71","69","73","61","77"
721966,"USA","PLYS Chris","PLYS C","Chris","Plys","3-V",5,"20","11","9","8","12","70","80","58","91","56"
721969,"USA","HAMILTON Matt","HAMILTON M","Matt","Hamilton","2",5,"20","14","6","14","6","89","89","88","84","100"
931762,"USA","LANDSTEINER John","LANDSTEINER J","John","Landsteiner","1",5,"20","8","12","19","1","88","94","83","87","100"
1221219,"USA","HUFMAN Colin","HUFMAN C","Colin","Hufman","A",5,"0","0","0","0","0","-","-","-","-","-"
706865,"SWE","EDIN Niklas","EDIN N","Niklas","Edin","4-S",5,"19","9","10","7","12","88","97","80","82","92"
721971,"SWE","ERIKSSON Oskar","ERIKSSON O","Oskar","Eriksson","3-V",5,"20","10","10","8","12","79","80","78","94","69"
771099,"SWE","SUNDGREN Christoffer","SUNDGREN C","Christoffer","Sundgren","1",5,"20","0","20","19","1","81","-","81","80","100"
1025620,"SWE","WRANA Rasmus","WRANA R","Rasmus","Wrana","2",5,"20","14","6","5","15","84","77","100","80","85"
1776684,"SWE","MAGNUSSON Daniel","MAGNUSSON D","Daniel","Magnusson","A",5,"0","0","0","0","0","-","-","-","-","-"
