"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
594027,"CAN","JONES Jennifer","JONES J","Jennifer","Jones","4-S",5,"22","9","13","10","12","68","61","73","73","65"
721928,"CAN","LAWES Kaitlyn","LAWES K","Kaitlyn","Lawes","3-V",5,"21","11","10","9","12","89","91","88","86","92"
722543,"CAN","MCEWEN Dawn","MCEWEN D","Dawn","McEwen","1",5,"22","16","6","17","5","83","92","58","87","70"
1022654,"CAN","PETERMAN Jocelyn","PETERMAN J","Jocelyn","Peterman","2",5,"22","16","6","8","14","76","81","63","78","75"
1159916,"CAN","WEAGLE Lisa","WEAGLE L","Lisa","Weagle","A",5,"0","0","0","0","0","-","-","-","-","-"
1221195,"CHN","WANG Rui","WANG R","Rui","Wang","4-S",5,"22","13","9","12","10","86","94","75","83","90"
1475586,"CHN","HAN Yu","HAN Y","Yu","Han","A",5,"0","0","0","0","0","-","-","-","-","-"
1721079,"CHN","JIANG Xindi","JIANG X","Xindi","Jiang","1",5,"22","12","10","20","2","97","98","95","96","100"
1721083,"CHN","DONG Ziqi","DONG Z","Ziqi","Dong","3",5,"22","12","10","8","14","81","83","78","84","79"
1949354,"CHN","ZHANG Lijun","ZHANG L","Lijun","Zhang","2-V",5,"22","13","9","14","8","83","85","81","89","72"
