"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
594027,"CAN","JONES Jennifer","JONES J","Jennifer","Jones","4-S",5,"19","13","6","8","11","66","77","42","72","61"
721928,"CAN","LAWES Kaitlyn","LAWES K","Kaitlyn","Lawes","3-V",5,"20","14","6","8","12","69","68","71","78","63"
722543,"CAN","MCEWEN Dawn","MCEWEN D","Dawn","McEwen","1",5,"20","6","14","20","0","96","96","96","96","-"
1022654,"CAN","PETERMAN Jocelyn","PETERMAN J","Jocelyn","Peterman","2",5,"20","9","11","11","9","78","81","75","82","72"
1159916,"CAN","WEAGLE Lisa","WEAGLE L","Lisa","Weagle","A",5,"0","0","0","0","0","-","-","-","-","-"
340094,"JPN","ISHIZAKI Kotomi","ISHIZAKI K","Kotomi","Ishizaki","A",5,"0","0","0","0","0","-","-","-","-","-"
721946,"JPN","FUJISAWA Satsuki","FUJISAWA S","Satsuki","Fujisawa","4-S",5,"19","8","11","8","11","88","97","82","97","82"
1221183,"JPN","YOSHIDA Chinami","YOSHIDA C","Chinami","Yoshida","3-V",5,"20","15","5","6","14","78","73","90","67","82"
1453422,"JPN","YOSHIDA Yurika","YOSHIDA Y","Yurika","Yoshida","1",5,"20","13","7","19","1","85","83","89","84","100"
1453423,"JPN","SUZUKI Yumi","SUZUKI Y","Yumi","Suzuki","2",5,"20","9","11","9","11","79","64","91","72","84"
