"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
771133,"ROC","ARSENKINA Galina","ARSENKINA G","Galina","Arsenkina","2",5,"18","7","11","12","6","74","75","73","73","75"
1149935,"ROC","KOVALEVA Alina","KOVALEVA A","Alina","Kovaleva","4-S",5,"18","10","8","11","7","72","73","72","75","68"
1149971,"ROC","PORTUNOVA Yulia","PORTUNOVA Y","Yulia","Portunova","3-V",5,"18","11","7","9","9","72","68","79","97","47"
1366650,"ROC","KUZMINA Ekaterina","KUZMINA E","Ekaterina","Kuzmina","1",5,"18","4","14","18","0","86","100","82","86","-"
1482314,"ROC","KOMAROVA Maria","KOMAROVA M","Maria","Komarova","A",5,"0","0","0","0","0","-","-","-","-","-"
721915,"GBR","MUIRHEAD Eve","MUIRHEAD E","Eve","Muirhead","4-S",5,"18","8","10","10","8","79","63","93","90","66"
1149957,"GBR","DODDS Jennifer","DODDS J","Jennifer","Dodds","2",5,"18","11","7","7","11","74","75","71","86","66"
1149972,"GBR","WRIGHT Vicky","WRIGHT V","Vicky","Wright","3-V",5,"18","10","8","9","9","68","63","75","64","72"
1475577,"GBR","SMITH Mili","SMITH M","Mili","Smith","A",5,"0","0","0","0","0","-","-","-","-","-"
1776691,"GBR","DUFF Hailey","DUFF H","Hailey","Duff","1",5,"18","8","10","17","1","78","78","78","76","100"
