"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
771133,"ROC","ARSENKINA Galina","ARSENKINA G","Galina","Arsenkina","2",5,"14","9","5","7","7","79","67","100","93","64"
1149935,"ROC","KOVALEVA Alina","KOVALEVA A","Alina","Kovaleva","4-S",5,"14","8","6","5","9","80","75","88","100","69"
1149971,"ROC","PORTUNOVA Yulia","PORTUNOVA Y","Yulia","Portunova","3-V",5,"14","7","7","8","6","70","71","68","59","83"
1366650,"ROC","KUZMINA Ekaterina","KUZMINA E","Ekaterina","Kuzmina","1",5,"14","6","8","13","1","91","88","94","90","100"
1482314,"ROC","KOMAROVA Maria","KOMAROVA M","Maria","Komarova","A",5,"0","0","0","0","0","-","-","-","-","-"
721952,"USA","HAMILTON Becca","HAMILTON B","Rebecca","Hamilton","2",5,"14","6","8","4","10","46","38","53","63","40"
771147,"USA","PETERSON Tabitha","PETERSON T","Tabitha","Peterson","4-S",5,"14","7","7","2","12","91","89","93","100","90"
771148,"USA","PETERSON Tara","PETERSON T","Tara","Peterson","1",5,"14","7","7","14","0","82","86","79","82","-"
1158300,"USA","GEVING Aileen","GEVING A","Aileen","Geving","A",5,"0","0","0","0","0","-","-","-","-","-"
1634789,"USA","ROTH Nina","ROTH N","Nina","Roth","3-V",5,"14","8","6","0","14","82","88","75","-","82"
