"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
660100,"SUI","TIRINZONI Silvana","TIRINZONI S","Silvana","Tirinzoni","3-S",5,"20","9","11","8","12","78","86","70","63","88"
660102,"SUI","NEUENSCHWANDER Esther","NEUENSCHWANDER E","Esther","Neuenschwander","2",5,"19","12","7","8","11","97","98","96","97","98"
931746,"SUI","PAETZ Alina","PAETZ A","Alina","Pätz","4-V",5,"19","10","9","12","7","87","95","78","88","86"
1022678,"SUI","BARBEZAT Melanie","BARBEZAT M","Melanie","Barbezat","1",5,"20","11","9","19","1","85","82","89","84","100"
1246289,"SUI","HOWALD Carole","HOWALD C","Carole","Howald","A",5,"0","0","0","0","0","-","-","-","-","-"
594027,"CAN","JONES Jennifer","JONES J","Jennifer","Jones","4-S",5,"18","5","13","10","8","65","50","71","73","56"
721928,"CAN","LAWES Kaitlyn","LAWES K","Kaitlyn","Lawes","3-V",5,"20","13","7","13","7","73","77","64","75","68"
722543,"CAN","MCEWEN Dawn","MCEWEN D","Dawn","McEwen","1",5,"20","10","10","17","3","88","80","95","91","67"
1022654,"CAN","PETERMAN Jocelyn","PETERMAN J","Jocelyn","Peterman","2",5,"20","14","6","6","14","89","89","88","79","93"
1159916,"CAN","WEAGLE Lisa","WEAGLE L","Lisa","Weagle","A",5,"0","0","0","0","0","-","-","-","-","-"
