"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
771137,"SWE","HASSELBORG Anna","HASSELBORG A","Anna","Hasselborg","4-S",5,"18","10","8","8","10","74","73","75","84","65"
771138,"SWE","KNOCHENHAUER Agnes","KNOCHENHAUER A","Agnes","Knochenhauer","2",5,"20","13","7","7","13","94","96","89","96","92"
771141,"SWE","MCMANUS Sara","MCMANUS S","Sara","McManus","3-V",5,"20","9","11","3","17","83","86","80","58","87"
931792,"SWE","MABERGS Sofia","MABERGS S","Sofia","Mabergs","1",5,"18","12","6","14","4","92","98","79","96","75"
1025602,"SWE","HELDIN Johanna","HELDIN J","Johanna","Heldin","A",5,"0","0","0","0","0","-","-","-","-","-"
340094,"JPN","ISHIZAKI Kotomi","ISHIZAKI K","Kotomi","Ishizaki","A",5,"0","0","0","0","0","-","-","-","-","-"
721946,"JPN","FUJISAWA Satsuki","FUJISAWA S","Satsuki","Fujisawa","4-S",5,"18","9","9","7","11","76","72","81","82","73"
1221183,"JPN","YOSHIDA Chinami","YOSHIDA C","Chinami","Yoshida","3-V",5,"20","8","12","11","9","74","88","65","80","67"
1453422,"JPN","YOSHIDA Yurika","YOSHIDA Y","Yurika","Yoshida","1",5,"20","17","3","18","2","98","97","100","97","100"
1453423,"JPN","SUZUKI Yumi","SUZUKI Y","Yumi","Suzuki","2",5,"20","11","9","12","8","86","91","81","88","84"
