"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
337982,"CAN","GUSHUE Brad","GUSHUE B","Brad","Gushue","4-S",5,"19","11","8","9","10","57","55","59","47","65"
603636,"CAN","NICHOLS Mark","NICHOLS M","Mark","Nichols","3-V",5,"20","13","7","7","13","94","94","93","96","92"
723800,"CAN","KENNEDY Marc","KENNEDY M","Marc","Kennedy","A",5,"0","0","0","0","0","-","-","-","-","-"
771068,"CAN","GALLANT Brett","GALLANT B","Brett","Gallant","2",5,"20","10","10","10","10","83","85","80","83","83"
1158314,"CAN","WALKER Geoff","WALKER G","Geoff","Walker","1",5,"20","9","11","19","1","99","100","98","99","100"
706865,"SWE","EDIN Niklas","EDIN N","Niklas","Edin","4-S",5,"19","12","7","9","10","76","92","50","89","65"
721971,"SWE","ERIKSSON Oskar","ERIKSSON O","Oskar","Eriksson","3-V",5,"20","8","12","5","15","93","97","90","90","93"
771099,"SWE","SUNDGREN Christoffer","SUNDGREN C","Christoffer","Sundgren","1",5,"20","3","17","19","1","95","92","96","95","100"
1025620,"SWE","WRANA Rasmus","WRANA R","Rasmus","Wrana","2",5,"20","12","8","8","12","89","92","84","94","85"
1776684,"SWE","MAGNUSSON Daniel","MAGNUSSON D","Daniel","Magnusson","A",5,"0","0","0","0","0","-","-","-","-","-"
