"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
337982,"CAN","GUSHUE Brad","GUSHUE B","Brad","Gushue","4-S",5,"18","5","13","6","12","78","90","73","58","88"
603636,"CAN","NICHOLS Mark","NICHOLS M","Mark","Nichols","3-V",5,"20","9","11","4","16","78","67","86","81","77"
723800,"CAN","KENNEDY Marc","KENNEDY M","Marc","Kennedy","A",5,"0","0","0","0","0","-","-","-","-","-"
771068,"CAN","GALLANT Brett","GALLANT B","Brett","Gallant","2",5,"20","9","11","9","11","86","78","93","86","86"
1158314,"CAN","WALKER Geoff","WALKER G","Geoff","Walker","1",5,"20","8","12","15","5","84","97","75","83","85"
458196,"USA","SHUSTER John","SHUSTER J","John","Shuster","4-S",5,"18","4","14","10","8","69","38","79","73","66"
721966,"USA","PLYS Chris","PLYS C","Chris","Plys","3-V",5,"20","7","13","11","9","74","75","73","64","86"
721969,"USA","HAMILTON Matt","HAMILTON M","Matt","Hamilton","2",5,"20","8","12","13","7","86","84","88","90","79"
931762,"USA","LANDSTEINER John","LANDSTEINER J","John","Landsteiner","1",5,"20","9","11","19","1","80","78","82","79","100"
1221219,"USA","HUFMAN Colin","HUFMAN C","Colin","Hufman","A",5,"0","0","0","0","0","-","-","-","-","-"
