"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
931795,"CHN","MA Xiuyue","MA X","Xiuyue","Ma","4-S",5,"20","8","12","14","6","88","91","85","89","83"
1022642,"CHN","JIANG Dongxu","JIANG D","Dongxu","Jiang","A",5,"0","0","0","0","0","-","-","-","-","-"
1149950,"CHN","XU Jingtao","XU J","Jingtao","Xu","1",5,"20","5","15","16","4","79","60","85","83","63"
1221197,"CHN","WANG Zhiyu","WANG Z","Zhiyu","Wang","2",5,"20","5","15","13","7","88","90","87","83","96"
1326608,"CHN","ZOU Qiang","ZOU Q","Qiang","Zou","3-V",5,"20","6","14","12","8","91","100","88","96","84"
458196,"USA","SHUSTER John","SHUSTER J","John","Shuster","4-S",5,"20","10","10","11","9","89","80","98","91","86"
721966,"USA","PLYS Chris","PLYS C","Chris","Plys","3-V",5,"20","7","13","1","19","93","100","88","100","92"
721969,"USA","HAMILTON Matt","HAMILTON M","Matt","Hamilton","2",5,"20","7","13","3","17","95","100","92","83","97"
931762,"USA","LANDSTEINER John","LANDSTEINER J","John","Landsteiner","1",5,"20","12","8","15","5","86","77","100","82","100"
1221219,"USA","HUFMAN Colin","HUFMAN C","Colin","Hufman","A",5,"0","0","0","0","0","-","-","-","-","-"
