"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
1022644,"GBR","MCMILLAN Hammy","MCMILLAN H","Hammy","McMillan","1",5,"19","12","7","19","0","93","100","82","93","-"
1366640,"GBR","LAMMIE Bobby","LAMMIE B","Bobby","Lammie","2",5,"20","10","10","11","9","78","68","88","68","89"
1366641,"GBR","MOUAT Bruce","MOUAT B","Bruce","Mouat","4-S",5,"19","12","7","10","9","74","75","71","63","86"
1475594,"GBR","WHYTE Ross","WHYTE R","Ross","Whyte","A",5,"0","0","0","0","0","-","-","-","-","-"
1716751,"GBR","HARDIE Grant","HARDIE G","Grant","Hardie","3-V",5,"20","12","8","12","8","78","75","81","83","69"
458196,"USA","SHUSTER John","SHUSTER J","John","Shuster","4-S",5,"20","9","11","8","12","93","86","98","94","92"
721966,"USA","PLYS Chris","PLYS C","Chris","Plys","3-V",5,"20","9","11","8","12","76","78","75","72","79"
721969,"USA","HAMILTON Matt","HAMILTON M","Matt","Hamilton","2",5,"20","10","10","8","12","81","83","80","84","79"
931762,"USA","LANDSTEINER John","LANDSTEINER J","John","Landsteiner","1",5,"20","7","13","19","1","93","86","96","92","100"
1221219,"USA","HUFMAN Colin","HUFMAN C","Colin","Hufman","A",5,"0","0","0","0","0","-","-","-","-","-"
