"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
594027,"CAN","JONES Jennifer","JONES J","Jennifer","Jones","4-S",5,"20","7","13","5","15","83","82","83","65","88"
721928,"CAN","LAWES Kaitlyn","LAWES K","Kaitlyn","Lawes","3-V",5,"20","13","7","5","15","74","73","75","80","72"
722543,"CAN","MCEWEN Dawn","MCEWEN D","Dawn","McEwen","1",5,"20","10","10","18","2","85","78","93","86","75"
1022654,"CAN","PETERMAN Jocelyn","PETERMAN J","Jocelyn","Peterman","2",5,"20","15","5","7","13","86","93","65","86","87"
1159916,"CAN","WEAGLE Lisa","WEAGLE L","Lisa","Weagle","A",5,"0","0","0","0","0","-","-","-","-","-"
1235627,"KOR","KIM Eun-Jung","KIM EJ","Eun-Jung","Kim","4-S",5,"20","11","9","9","11","79","91","64","89","70"
1235648,"KOR","KIM Kyeong-Ae","KIM KA","Kyeong-Ae","Kim","3-V",5,"20","14","6","11","9","74","84","50","77","69"
1235698,"KOR","KIM Seon-Yeong","KIM SY","Seon-Yeong","Kim","1",5,"20","10","10","19","1","86","88","85","86","100"
1235704,"KOR","KIM Yeong-Mi","KIM YM","Yeong-Mi","Kim","A",5,"0","0","0","0","0","-","-","-","-","-"
1550327,"KOR","KIM Chohi","KIM C","Chohi","Kim","2",5,"20","16","4","12","8","80","84","63","88","69"
