"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
721915,"GBR","MUIRHEAD Eve","MUIRHEAD E","Eve","Muirhead","4-S",5,"18","7","11","10","8","83","82","84","93","72"
1149957,"GBR","DODDS Jennifer","DODDS J","Jennifer","Dodds","2",5,"18","12","6","4","14","93","96","88","100","91"
1149972,"GBR","WRIGHT Vicky","WRIGHT V","Vicky","Wright","3-V",5,"18","7","11","5","13","86","96","80","80","88"
1475577,"GBR","SMITH Mili","SMITH M","Mili","Smith","A",5,"0","0","0","0","0","-","-","-","-","-"
1776691,"GBR","DUFF Hailey","DUFF H","Hailey","Duff","1",5,"18","5","13","17","1","72","60","77","75","25"
721952,"USA","HAMILTON Becca","HAMILTON B","Rebecca","Hamilton","2",5,"18","12","6","14","4","74","85","50","75","69"
771147,"USA","PETERSON Tabitha","PETERSON T","Tabitha","Peterson","4-S",5,"18","9","9","5","13","57","58","56","50","60"
771148,"USA","PETERSON Tara","PETERSON T","Tara","Peterson","1",5,"18","12","6","18","0","88","81","100","88","-"
1158300,"USA","GEVING Aileen","GEVING A","Aileen","Geving","A",5,"0","0","0","0","0","-","-","-","-","-"
1634789,"USA","ROTH Nina","ROTH N","Nina","Roth","3-V",5,"18","12","6","9","9","72","85","46","83","61"
