"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
340094,"JPN","ISHIZAKI Kotomi","ISHIZAKI K","Kotomi","Ishizaki","A",5,"0","0","0","0","0","-","-","-","-","-"
721946,"JPN","FUJISAWA Satsuki","FUJISAWA S","Satsuki","Fujisawa","4-S",5,"20","7","13","9","11","81","64","90","78","84"
1221183,"JPN","YOSHIDA Chinami","YOSHIDA C","Chinami","Yoshida","3-V",5,"20","8","12","13","7","89","75","98","90","86"
1453422,"JPN","YOSHIDA Yurika","YOSHIDA Y","Yurika","Yoshida","1",5,"20","11","9","18","2","89","84","94","90","75"
1453423,"JPN","SUZUKI Yumi","SUZUKI Y","Yumi","Suzuki","2",5,"20","11","9","12","8","84","82","86","94","69"
455596,"DEN","DUPONT Denise","DUPONT D","Denise","Dupont","2",5,"20","12","8","8","12","86","85","88","84","88"
455597,"DEN","DUPONT Madeleine","DUPONT M","Madeleine","Dupont","4-S",5,"20","12","8","8","12","83","79","88","78","85"
1570508,"DEN","HALSE Mathilde","HALSE M","Mathilde","Halse","3-V",5,"20","12","8","8","12","79","81","75","63","90"
2032361,"DEN","LANDER Jasmin","LANDER J","Jasmin","Lander","A",5,"0","0","0","0","0","-","-","-","-","-"
2032386,"DEN","LARSEN My","LARSEN M","My","Larsen","1",5,"20","14","6","17","3","80","82","75","76","100"
