"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
1235627,"KOR","KIM Eun-Jung","KIM EJ","Eun-Jung","Kim","4-S",5,"20","10","10","8","12","71","68","75","84","63"
1235648,"KOR","KIM Kyeong-Ae","KIM KA","Kyeong-Ae","Kim","3-V",5,"20","9","11","5","15","65","75","57","70","63"
1235698,"KOR","KIM Seon-Yeong","KIM SY","Seon-Yeong","Kim","1",5,"20","17","3","15","5","86","93","50","92","70"
1235704,"KOR","KIM Yeong-Mi","KIM YM","Yeong-Mi","Kim","A",5,"0","0","0","0","0","-","-","-","-","-"
1550327,"KOR","KIM Chohi","KIM C","Chohi","Kim","2",5,"20","11","9","8","12","74","70","78","66","79"
455596,"DEN","DUPONT Denise","DUPONT D","Denise","Dupont","2",5,"20","12","8","11","9","70","65","78","82","56"
455597,"DEN","DUPONT Madeleine","DUPONT M","Madeleine","Dupont","4-S",5,"20","10","10","13","7","75","70","80","71","82"
1570508,"DEN","HALSE Mathilde","HALSE M","Mathilde","Halse","3-V",5,"20","8","12","12","8","70","75","67","65","78"
2032361,"DEN","LANDER Jasmin","LANDER J","Jasmin","Lander","A",5,"0","0","0","0","0","-","-","-","-","-"
2032386,"DEN","LARSEN My","LARSEN M","My","Larsen","1",5,"20","16","4","18","2","81","83","75","79","100"
