"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
771137,"SWE","HASSELBORG Anna","HASSELBORG A","Anna","Hasselborg","4-S",5,"19","5","14","6","13","66","95","55","75","62"
771138,"SWE","KNOCHENHAUER Agnes","KNOCHENHAUER A","Agnes","Knochenhauer","2",5,"20","9","11","13","7","70","64","75","75","61"
771141,"SWE","MCMANUS Sara","MCMANUS S","Sara","McManus","3-V",5,"20","8","12","9","11","75","78","73","92","61"
931792,"SWE","MABERGS Sofia","MABERGS S","Sofia","Mabergs","1",5,"20","8","12","18","2","86","75","94","85","100"
1025602,"SWE","HELDIN Johanna","HELDIN J","Johanna","Heldin","A",5,"0","0","0","0","0","-","-","-","-","-"
1221195,"CHN","WANG Rui","WANG R","Rui","Wang","4-V",5,"20","5","15","10","10","75","60","80","80","70"
1475586,"CHN","HAN Yu","HAN Y","Yu","Han","3-S",5,"20","8","12","8","12","71","75","69","81","65"
1721079,"CHN","JIANG Xindi","JIANG X","Xindi","Jiang","A",5,"0","0","0","0","0","-","-","-","-","-"
1721083,"CHN","DONG Ziqi","DONG Z","Ziqi","Dong","2",5,"19","9","10","13","6","91","92","90","90","92"
1949354,"CHN","ZHANG Lijun","ZHANG L","Lijun","Zhang","1",5,"20","10","10","16","4","89","90","88","89","88"
