"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
771137,"SWE","HASSELBORG Anna","HASSELBORG A","Anna","Hasselborg","4-S",5,"22","11","11","9","13","74","66","82","75","73"
771138,"SWE","KNOCHENHAUER Agnes","KNOCHENHAUER A","Agnes","Knochenhauer","2",5,"22","7","15","11","11","91","82","95","89","93"
771141,"SWE","MCMANUS Sara","MCMANUS S","Sara","McManus","3-V",5,"22","9","13","12","10","85","86","85","85","85"
931792,"SWE","MABERGS Sofia","MABERGS S","Sofia","Mabergs","1",5,"22","10","12","20","2","93","90","96","93","100"
1025602,"SWE","HELDIN Johanna","HELDIN J","Johanna","Heldin","A",5,"0","0","0","0","0","-","-","-","-","-"
721915,"GBR","MUIRHEAD Eve","MUIRHEAD E","Eve","Muirhead","4-S",5,"21","8","13","14","7","85","84","85","79","96"
1149957,"GBR","DODDS Jennifer","DODDS J","Jennifer","Dodds","2",5,"22","9","13","10","12","83","72","90","88","79"
1149972,"GBR","WRIGHT Vicky","WRIGHT V","Vicky","Wright","3-V",5,"22","6","16","10","12","86","96","83","88","85"
1475577,"GBR","SMITH Mili","SMITH M","Mili","Smith","A",5,"0","0","0","0","0","-","-","-","-","-"
1776691,"GBR","DUFF Hailey","DUFF H","Hailey","Duff","1",5,"22","10","12","18","4","80","85","75","86","50"
