"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1, 335566,"FETTNER Manuel","FETTNER M","Manuel","Fettner","34",26,  151, 2219,Austria,AUT, 1, 1,"1","136.3","136.3",136300,"104.0",TRUE,FALSE,1518048026,"456708:34:00",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 763030,"KUBACKI Dawid","KUBACKI D","Dawid","Kubacki","25",23,  150, 2214,Poland,POL, 2, 2,"2","132.8","132.8",132800,"103.0",TRUE,FALSE,1518048023,"456708:30:43",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1352160,"LINDVIK Marius","LINDVIK M","Marius","Lindvik","47",14,  153, 2221,Norway,NOR, 3, 3,"3","132.3","132.3",132300,"102.5",TRUE,FALSE,1518048014,"456708:27:42",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1555823,"ZAJC Timi","ZAJC T","Timi","Zajc","39",13,   30, 2783,Slovenia,SLO, 4, 4,"4","131.1","131.1",131100,"104.5",TRUE,FALSE,1518048013,"456708:19:35",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1240224,"KOBAYASHI Ryoyu","KOBAYASHI R","Ryoyu","Kobayashi","49",30,   18, 2241,Japan,JPN, 5, 5,"5","129.6","129.6",129600,"99.5",TRUE,FALSE,1518048030,"456708:47:14",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1004005,"KRAFT Stefan","KRAFT S","Stefan","Kraft","43",17,  151, 2219,Austria,AUT, 6, 6,"6","128.9","128.9",128900,"99.5",TRUE,FALSE,1518048017,"456708:23:37",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1018160,"KLIMOV Evgeniy","KLIMOV E","Evgeniy","Klimov","27",27,23062,73035,ROC,ROC, 7, 7,"7","126.5","126.5",126500,"100.0",TRUE,FALSE,1518048027,"456708:35:16",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 765887,"PREVC Peter","PREVC P","Peter","Prevc","33",29,   30, 2783,Slovenia,SLO, 8, 8,"8","126.2","126.2",126200,"99.5",TRUE,FALSE,1518048029,"456708:37:43",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 409229,"AALTO Antti","AALTO A","Antti","Aalto","18",21,  161, 2237,Finland,FIN, 9, 9,"9","125.6","125.6",125600,"99.5",TRUE,FALSE,1518048021,"456708:28:35",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1205271,"HUBER Daniel","HUBER D","Daniel","Huber","42",12,  151, 2219,Austria,AUT,10,10,"10","125.5","125.5",125500,"101.5",TRUE,FALSE,1518048012,"456708:18:38",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1119517,"GEIGER Karl","GEIGER K","Karl","Geiger","50",10,    2, 2206,Germany,GER,11,11,"11","125.3","125.3",125300,"99.0",TRUE,FALSE,1518048010,"456708:15:35",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1948109,"SADREEV Danil","SADREEV D","Danil","Sadreev","26",24,23062,73035,ROC,ROC,11,12,"11","125.3","125.3",125300,"98.0",TRUE,FALSE,1518048024,"456708:31:48",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 486641,"STOCH Kamil","STOCH K","Kamil","Stoch","32",28,  150, 2214,Poland,POL,13,13,"13","124.6","124.6",124600,"97.5",TRUE,FALSE,1518048028,"456708:36:28",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 603430,"ZYLA Piotr","ZYLA P","Piotr","Zyla","31", 4,  150, 2214,Poland,POL,14,14,"14","123.9","123.9",123900,"99.0",TRUE,FALSE,1518048004,"456708:09:59",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 832858,"TROFIMOV Roman","TROFIMOV R","Roman","Trofimov","22", 2,23062,73035,ROC,ROC,14,15,"14","123.9","123.9",123900,"98.0",TRUE,FALSE,1518048002,"456708:08:13",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 721201,"DESCHWANDEN Gregor","DESCHWANDEN G","Gregor","Deschwanden","29",11,  149, 2213,Switzerland,SUI,16,16,"16","123.2","123.2",123200,"99.0",TRUE,FALSE,1518048011,"456708:17:42",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1019328,"LANISEK Anze","LANISEK A","Anže","Lanišek","46",22,   30, 2783,Slovenia,SLO,17,17,"17","123.0","123.0",123000,"98.0",TRUE,FALSE,1518048022,"456708:29:40",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1351783,"SCHMID Constantin","SCHMID C","Constantin","Schmid","35",25,    2, 2206,Germany,GER,18,18,"18","122.9","122.9",122900,"98.0",TRUE,FALSE,1518048025,"456708:32:51",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 764058,"BOYD-CLOWES Mackenzie","BOYD-CLOWES M","Mackenzie","Boyd-Clowes","19",19,  159, 2231,Canada,CAN,19,19,"19","122.8","122.8",122800,"100.0",TRUE,FALSE,1518048019,"456708:25:32",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1,1555396,"HOERL Jan","HOERL J","Jan","Hörl","44",16,  151, 2219,Austria,AUT,20,20,"20","119.9","119.9",119900,"97.0",TRUE,FALSE,1518048016,"456708:22:36",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 766277,"JOHANSSON Robert","JOHANSSON R","Robert","Johansson","40",15,  153, 2221,Norway,NOR,21,21,"21","119.5","119.5",119500,"96.0",TRUE,FALSE,1518048015,"456708:21:36",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 650679,"KOUDELKA Roman","KOUDELKA R","Roman","Koudelka","14",20,   17, 2240,Czech Republic,CZE,22,22,"22","119.1","119.1",119100,"97.5",TRUE,FALSE,1518048020,"456708:26:28",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 760924,"ZOGRAFSKI Vladimir","ZOGRAFSKI V","Vladimir","Zografski","23", 7,  148, 2211,Bulgaria,BUL,23,23,"23","118.6","118.6",118600,"97.0",TRUE,FALSE,1518048007,"456708:12:37",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 309712,"AMMANN Simon","AMMANN S","Simon","Ammann","24", 6,  149, 2213,Switzerland,SUI,24,24,"24","115.8","115.8",115800,"97.0",TRUE,FALSE,1518048006,"456708:11:49",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 837288,"LEYHE Stephan","LEYHE S","Stephan","Leyhe","36",18,    2, 2206,Germany,GER,25,25,"25","115.1","115.1",115100,"95.0",TRUE,FALSE,1518048018,"456708:24:35",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
1, 762491,"KOBAYASHI Junshiro","KOBAYASHI J","Junshiro","Kobayashi","28", 5,   18, 2241,Japan,JPN,26,26,"26","111.0","111.0",111000,"92.5",TRUE,FALSE,1518048005,"456708:10:55",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final",NA
