"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM","n_Position1","n_Position2","n_PersonID1","n_PersonID2","c_Person1","c_Person2","c_PersonFirstName1","c_PersonFirstName2","c_PersonLastName1","c_PersonLastName2","c_PersonShort1","c_PersonShort2","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","c_ClientStreamURL1","c_ClientStreamURL2"
2, 59871,"SUI W/HAN C","Sui/Han","Sui/Han",17,   26, 2770,China,CHN, 1, 1,"1","84.41","84.41",84410,"Q","45.96","38.45","0.00",TRUE,FALSE,1518048017,181,"https://stream.nbcolympics.com/figure-skating-pairs-short-program",NA,"1","2","822756","822757","SUI Wenjing","HAN Cong","Wenjing","Cong","Sui","Han","SUI W","HAN C","181","181","https://stream.nbcolympics.com/figure-skating-pairs-short-program","https://stream.nbcolympics.com/figure-skating-pairs-short-program"
2, 67651,"TARASOVA E/MOROZOV V","Tarasova/Morozov","Tarasova/Morozov",18,23062,73035,ROC,ROC, 2, 2,"2","84.25","84.25",84250,"Q","46.04","38.21","0.00",TRUE,FALSE,1518048018,181,"https://stream.nbcolympics.com/figure-skating-pairs-short-program",NA,"1","2","836394","1138189","TARASOVA Evgeniya","MOROZOV Vladimir","Evgeniya","Vladimir","Tarasova","Morozov","TARASOVA E","MOROZOV V","181","181","https://stream.nbcolympics.com/figure-skating-pairs-short-program","https://stream.nbcolympics.com/figure-skating-pairs-short-program"
2,443457,"MISHINA A/GALIAMOV A","Mishina/Galiamov","Mishina/Galiamov",16,23062,73035,ROC,ROC, 3, 3,"3","82.76","82.76",82760,"Q","44.95","37.81","0.00",TRUE,FALSE,1518048016,181,"https://stream.nbcolympics.com/figure-skating-pairs-short-program",NA,"1","2","1426960","1778023","MISHINA Anastasia","GALIAMOV Aleksandr","Anastasia","Aleksandr","Mishina","Galiamov","MISHINA A","GALIAMOV A","181","181","https://stream.nbcolympics.com/figure-skating-pairs-short-program","https://stream.nbcolympics.com/figure-skating-pairs-short-program"
2,430699,"BOYKOVA A/KOZLOVSKIY D","Boykova/Kozlovskiy","Boykova/Kozlovskiy",19,23062,73035,ROC,ROC, 4, 4,"4","78.59","78.59",78590,"Q","42.17","36.42","0.00",TRUE,FALSE,1518048019,181,"https://stream.nbcolympics.com/figure-skating-pairs-short-program",NA,"1","2","1536928","1536929","BOYKOVA Aleksandra","KOZLOVSKIY Dmitriy","Aleksandra","Dmitriy","Boykova","Kozlovskiy","BOYKOVA A","KOZLOVSKIY D","181","181","https://stream.nbcolympics.com/figure-skating-pairs-short-program","https://stream.nbcolympics.com/figure-skating-pairs-short-program"
2,431222,"PENG C/JIN Y","Peng/Jin","Peng/Jin",14,   26, 2770,China,CHN, 5, 5,"5","76.10","76.10",76100,"Q","40.87","35.23","0.00",TRUE,FALSE,1518048014,181,"https://stream.nbcolympics.com/figure-skating-pairs-short-program",NA,"1","2","1107664","840168","PENG Cheng","JIN Yang","Cheng","Yang","Peng","Jin","PENG C","JIN Y","181","181","https://stream.nbcolympics.com/figure-skating-pairs-short-program","https://stream.nbcolympics.com/figure-skating-pairs-short-program"
2,467060,"KNIERIM A/FRAZIER B","Knierim/Frazier","Knierim/Frazier", 2,    5, 2209,United States,USA, 6, 6,"6","74.23","74.23",74230,"Q","40.64","33.59","0.00",TRUE,FALSE,1518048002,181,"https://stream.nbcolympics.com/figure-skating-pairs-short-program",NA,"1","2","1115709","1020524","KNIERIM Alexa","FRAZIER Brandon","Alexa","Brandon","Knierim","Frazier","KNIERIM A","FRAZIER B","181","181","https://stream.nbcolympics.com/figure-skating-pairs-short-program","https://stream.nbcolympics.com/figure-skating-pairs-short-program"
2,431350,"CAIN-GRIBBLE A/LEDUC T","Cain-Gribble/Leduc","Cain-Gribble/Leduc",13,    5, 2209,United States,USA, 7, 7,"7","74.13","74.13",74130,"Q","39.91","34.22","0.00",TRUE,FALSE,1518048013,181,"https://stream.nbcolympics.com/figure-skating-pairs-short-program",NA,"1","2","920870","920876","CAIN-GRIBBLE Ashley","LEDUC Timothy","Ashley","Timothy","Cain-Gribble","Leduc","CAIN-GRIBBLE A","LEDUC T","181","181","https://stream.nbcolympics.com/figure-skating-pairs-short-program","https://stream.nbcolympics.com/figure-skating-pairs-short-program"
2,456934,"MIURA R/KIHARA R","Miura/Kihara","Miura/Kihara", 4,   18, 2241,Japan,JPN, 8, 8,"8","70.85","70.85",70850,"Q","36.39","34.46","0.00",TRUE,FALSE,1518048004,181,"https://stream.nbcolympics.com/figure-skating-pairs-short-program",NA,"1","2","1641473","836501","MIURA Riku","KIHARA Ryuichi","Riku","Ryuichi","Miura","Kihara","MIURA R","KIHARA R","181","181","https://stream.nbcolympics.com/figure-skating-pairs-short-program","https://stream.nbcolympics.com/figure-skating-pairs-short-program"
2,474826,"SAFINA K/BERULAVA L","Safina/Berulava","Safina/Berulava", 1,  163, 2239,Georgia,GEO, 9, 9,"9","66.11","66.11",66110,"Q","36.74","29.37","0.00",TRUE,FALSE,1518048001,181,"https://stream.nbcolympics.com/figure-skating-pairs-short-program",NA,"1","2","2234995","2020155","SAFINA Karina","BERULAVA Luka","Karina","Luka","Safina","Berulava","SAFINA K","BERULAVA L","181","181","https://stream.nbcolympics.com/figure-skating-pairs-short-program","https://stream.nbcolympics.com/figure-skating-pairs-short-program"
2, 61870,"DELLA MONICA N/GUARISE M","Della Monica/Guarise","Della Monica/Guarise",10,    6, 2210,Italy,ITA,10,10,"10","63.58","63.58",63580,"Q","33.16","31.42","-1.00",TRUE,FALSE,1518048010,181,"https://stream.nbcolympics.com/figure-skating-pairs-short-program",NA,"1","2","762813","1027798","DELLA MONICA Nicole","GUARISE Matteo","Nicole","Matteo","Della Monica","Guarise","DELLA MONICA N","GUARISE M","181","181","https://stream.nbcolympics.com/figure-skating-pairs-short-program","https://stream.nbcolympics.com/figure-skating-pairs-short-program"
