"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","c_ODF_IRM"
1, 835857,"GRAABAK Joergen","GRAABAK J","Jørgen","Graabak","12",12,  153, 2221,Norway,NOR, 1, 1,"1","27:13.3","27:13.3",1633300,     0,TRUE,FALSE,NA
1,1555403,"OFTEBRO Jens Luraas","OFTEBRO JL","Jens Lurås","Oftebro","10",10,  153, 2221,Norway,NOR, 2, 2,"2","+0.4","27:13.7",1633700,   400,TRUE,FALSE,NA
1, 602685,"WATABE Akito","WATABE A","Akito","Watabe","5", 5,   18, 2241,Japan,JPN, 3, 3,"3","+0.6","27:13.9",1633900,   600,TRUE,FALSE,NA
1, 824558,"FAISST Manuel","FAISST M","Manuel","Faißt","4", 4,    2, 2206,Germany,GER, 4, 4,"4","+3.3","27:16.6",1636600,  3300,TRUE,FALSE,NA
1,1134598,"GREIDERER Lukas","GREIDERER L","Lukas","Greiderer","11",11,  151, 2219,Austria,AUT, 5, 5,"5","+11.8","27:25.1",1645100, 11800,TRUE,FALSE,NA
1,1766435,"LAMPARTER Johannes","LAMPARTER J","Johannes","Lamparter","8", 8,  151, 2219,Austria,AUT, 6, 6,"6","+18.0","27:31.3",1651300, 18000,TRUE,FALSE,NA
1,1457323,"GEIGER Vinzenz","GEIGER V","Vinzenz","Geiger","14",14,    2, 2206,Germany,GER, 7, 7,"7","+31.2","27:44.5",1664500, 31200,TRUE,FALSE,NA
1,1240651,"RIIBER Jarl Magnus","RIIBER JM","Jarl Magnus","Riiber","1", 1,  153, 2221,Norway,NOR, 8, 8,"8","+39.8","27:53.1",1673100, 39800,TRUE,FALSE,NA
1,1023254,"ILVES Kristjan","ILVES K","Kristjan","Ilves","2", 2,    8, 2217,Estonia,EST, 9, 9,"9","+1:00.2","28:13.5",1693500, 60200,TRUE,FALSE,NA
1,1555443,"SCHMID Julian","SCHMID J","Julian","Schmid","9", 9,    2, 2206,Germany,GER,10,10,"10","+1:00.8","28:14.1",1694100, 60800,TRUE,FALSE,NA
1, 835865,"REHRL Franz-Josef","REHRL FJ","Franz-Josef","Rehrl","6", 6,  151, 2219,Austria,AUT,11,11,"11","+1:08.9","28:22.2",1702200, 68900,TRUE,FALSE,NA
1,1240727,"YAMAMOTO Ryota","YAMAMOTO R","Ryota","Yamamoto","3", 3,   18, 2241,Japan,JPN,12,12,"12","+1:14.8","28:28.1",1708100, 74800,TRUE,FALSE,NA
