"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","c_Bib1","c_Bib2","c_Bib3","c_Bib4"
4, 374,"Norway","NOR","Norway","2", 2,153,2221,Norway,NOR, 1, 1,"1","50:45.1","50:45.1",3045100,     0,TRUE,FALSE,"1","2","3","4","1136177","1018159","1555403","835857","BJOERNSTAD Espen","ANDERSEN Espen","OFTEBRO Jens Luraas","GRAABAK Joergen","Espen","Espen","Jens Lurås","Jørgen","Bjørnstad","Andersen","Oftebro","Graabak","BJOERNSTAD E","ANDERSEN E","OFTEBRO JL","GRAABAK J","9-1","9-2","9-3","9-4"
4,2977,"Germany","GER","Germany","3", 3,  2,2206,Germany,GER, 2, 2,"2","+54.9","51:40.0",3100000, 54900,TRUE,FALSE,"1","2","3","4","824558","1555443","650662","1457323","FAISST Manuel","SCHMID Julian","FRENZEL Eric","GEIGER Vinzenz","Manuel","Julian","Eric","Vinzenz","Faißt","Schmid","Frenzel","Geiger","FAISST M","SCHMID J","FRENZEL E","GEIGER V","10-1","10-2","10-3","10-4"
4,1330,"Japan","JPN","Japan","4", 4, 18,2241,Japan,JPN, 3, 3,"3","+55.2","51:40.3",3100300, 55200,TRUE,FALSE,"1","2","3","4","762492","601192","602685","1240727","WATABE Yoshito","NAGAI Hideaki","WATABE Akito","YAMAMOTO Ryota","Yoshito","Hideaki","Akito","Ryota","Watabe","Nagai","Watabe","Yamamoto","WATABE Y","NAGAI H","WATABE A","YAMAMOTO R","7-1","7-2","7-3","7-4"
4,1717,"Austria","AUT","Austria","1", 1,151,2219,Austria,AUT, 4, 4,"4","+59.6","51:44.7",3104700, 59600,TRUE,FALSE,"1","2","3","4","835865","1766435","1134598","1134600","REHRL Franz-Josef","LAMPARTER Johannes","GREIDERER Lukas","FRITZ Martin","Franz-Josef","Johannes","Lukas","Martin","Rehrl","Lamparter","Greiderer","Fritz","REHRL FJ","LAMPARTER J","GREIDERER L","FRITZ M","8-1","8-2","8-3","8-4"
4,2469,"France","FRA","France","5", 5,144,2202,France,FRA, 5, 5,"5","+2:15.0","53:00.1",3180100,135000,TRUE,FALSE,"1","2","3","4","2080220","1555566","1356947","1240650","BLONDEAU Gael","BAUD Matteo","GERARD Antoine","MUHLETHALER Laurent","Gael","Mattéo","Antoine","Laurent","Blondeau","Baud","Gérard","Mühlethaler","BLONDEAU G","BAUD M","GERARD A","MUHLETHALER L","4-1","4-2","4-3","4-4"
4, 748,"United States","USA","United States","7", 7,  5,2209,United States,USA, 6, 6,"6","+2:22.0","53:07.1",3187100,142000,TRUE,FALSE,"1","2","3","4","603077","1240207","1136198","1477944","FLETCHER Taylor","LOOMIS Ben","GOOD Jasper","SHUMATE Jared","Taylor","Ben","Jasper","Jared","Fletcher","Loomis","Good","Shumate","FLETCHER T","LOOMIS B","GOOD J","SHUMATE J","5-1","5-2","5-3","5-4"
4, 938,"Czech Republic","CZE","Czech Republic","6", 6, 17,2240,Czech Republic,CZE, 7, 7,"7","+2:25.5","53:10.6",3190600,145500,TRUE,FALSE,"1","2","3","4","1018185","1352114","1352317","1240647","PORTYK Tomas","VYTRVAL Jan","PAZOUT Ondrej","DANEK Lukas","Tomáš","Jan","Ondrej","Lukáš","Portyk","Vytrval","Pažout","Danek","PORTYK T","VYTRVAL J","PAZOUT O","DANEK L","2-1","2-2","2-3","2-4"
4,1642,"Finland","FIN","Finland","8", 8,161,2237,Finland,FIN, 8, 8,"8","+2:39.0","53:24.1",3204100,159000,TRUE,FALSE,"1","2","3","4","1018163","1136180","1221146","1948080","HEROLA Ilkka","MAEKIAHO Arttu","HIRVONEN Eero","REPONEN Perttu","Ilkka","Arttu","Eero","Perttu","Herola","Mäkiaho","Hirvonen","Reponen","HEROLA I","MAEKIAHO A","HIRVONEN E","REPONEN P","6-1","6-2","6-3","6-4"
4,1736,"Italy","ITA","Italy","9", 9,  6,2210,Italy,ITA, 9, 9,"9","+6:21.9","57:07.0",3427000,381900,TRUE,FALSE,"1","2","3","4","1555368","835860","1023440","602822","BORTOLAS Iacopo","COSTA Samuel","BUZZI Raffaele","PITTIN Alessandro","Iacopo","Samuel","Raffaele","Alessandro","Bortolas","Costa","Buzzi","Pittin","BORTOLAS I","COSTA S","BUZZI R","PITTIN A","3-1","3-2","3-3","3-4"
4,5968,"China","CHN","China","10",10, 26,2770,China,CHN,10,10,"10","+13:50.0","1:04:35.1",3875100,830000,TRUE,FALSE,"1","2","3","4","1955622","2279229","1955623","2279228","ZHAO Jiawen","GUO Yuhao","ZHAO Zihe","FAN Haibin","Jiawen","Yuhao","Zihe","Haibin","Zhao","Guo","Zhao","Fan","ZHAO J","GUO Y","ZHAO Z","FAN H","1-1","1-2","1-3","1-4"
