"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","c_Bib1","c_Bib2","c_Bib3","c_Bib4"
4,   296,"Norway","NOR","Norway","1", 1,  153, 2221,Norway,NOR, 1, 1,"1","1:06:45.6","1:06:45.6",4005600,     0,"3 + 13",TRUE,FALSE,"1","2","3","4","918902","720075","708876","980251","OLSBU ROEISELAND Marte","ECKHOFF Tiril","BOE Tarjei","BOE Johannes Thingnes","Marte","Tiril","Tarjei","Johannes Thingnes","Olsbu Røiseland","Eckhoff","Bø","Bø","OLSBU ROEISELAND M","ECKHOFF T","BOE T","BOE JT","1-1","1-2","1-1","1-1"
4,  2516,"France","FRA","France","3", 3,  144, 2202,France,FRA, 2, 2,"2","+0.9","1:06:46.5",4006500,   900,"3 + 11",TRUE,FALSE,"1","2","3","4","844445","1245784","1245776","923163","CHEVALIER-BOUCHET Anais","SIMON Julia","JACQUELIN Emilien","FILLON MAILLET Quentin","Anaïs","Julia","Emilien","Quentin","Chevalier-Bouchet","Simon","Jacquelin","Fillon Maillet","CHEVALIER-BOUCHET A","SIMON J","JACQUELIN E","FILLON MAILLET Q","3-1","3-1","3-3","3-1"
4,475655,"ROC","ROC","ROC","5", 5,23062,73035,ROC,ROC, 3, 3,"3","+1.5","1:06:47.1",4007100,  1500,"1 + 13",TRUE,FALSE,"1","2","3","4","1023355","1362292","844397","1137029","NIGMATULLINA Uliana","REZTSOVA Kristina","LOGINOV Aleksandr","LATYPOV Eduard","Uliana","Kristina","Alexander","Eduard","Nigmatullina","Reztsova","Loginov","Latypov","NIGMATULLINA U","REZTSOVA K","LOGINOV A","LATYPOV E","5-1","5-1","5-1","5-1"
4,   747,"Sweden","SWE","Sweden","4", 4,  154, 2222,Sweden,SWE, 4, 4,"4","+41.0","1:07:26.6",4046600, 41000,"0 + 13",TRUE,FALSE,"1","2","3","4","1017700","1632804","1245820","1338622","OEBERG Hanna","OBERG Elvira","PONSILUOMA Martin","SAMUELSSON Sebastian","Hanna","Elvira","Martin","Sebastian","Öberg","Öberg","Ponsiluoma","Samuelsson","OEBERG H","OBERG E","PONSILUOMA M","SAMUELSSON S","4-1","4-2","4-1","4-1"
4,  1084,"Germany","GER","Germany","6", 6,    2, 2206,Germany,GER, 5, 5,"5","+1:05.5","1:07:51.1",4071100, 65500,"2 + 18",TRUE,FALSE,"1","2","3","4","1626878","703233","717496","1246138","VOIGT Vanessa","HERRMANN Denise","DOLL Benedikt","NAWRATH Philipp","Vanessa","Denise","Benedikt","Philipp","Voigt","Herrmann","Doll","Nawrath","VOIGT V","HERRMANN D","DOLL B","NAWRATH P","6-1","6-3","6-3","6-3"
4,  2369,"Belarus","BLR","Belarus","2", 2,  103, 4387,Belarus,BLR, 6, 6,"6","+1:14.6","1:08:00.2",4080200, 74600,"2 + 14",TRUE,FALSE,"1","2","3","4","980215","1338344","1949143","1362517","ALIMBEKAVA Dzinara","SOLA Hanna","LABASTAU Mikita","SMOLSKI Anton","Dzinara","Hanna","Mikita","Anton","Alimbekava","Sola","Labastau","Smolski","ALIMBEKAVA D","SOLA H","LABASTAU M","SMOLSKI A","2-1","2-1","2-1","2-1"
4,   720,"United States","USA","United States","19",19,    5, 2209,United States,USA, 7, 7,"7","+2:12.7","1:08:58.3",4138300,132700,"1 + 12",TRUE,FALSE,"1","2","3","4","823338","1338227","980366","1593255","DUNKLEE Susan","EGAN Clare","DOHERTY Sean","SCHOMMER Paul","Susan","Clare","Sean","Paul","Dunklee","Egan","Doherty","Schommer","DUNKLEE S","EGAN C","DOHERTY S","SCHOMMER P","19-1","19-2","19-1","19-4"
4,   493,"Switzerland","SUI","Switzerland","14",14,  149, 2213,Switzerland,SUI, 8, 8,"8","+2:20.4","1:09:06.0",4146000,140400,"2 + 11",TRUE,FALSE,"1","2","3","4","1632782","1017698","720640","1352235","BASERGA Amy","HAECKI Lena","WEGER Benjamin","STALDER Sebastian","Amy","Lena","Benjamin","Sebastian","Baserga","Häcki","Weger","Stalder","BASERGA A","HAECKI L","WEGER B","STALDER S","14-1","14-4","14-1","14-4"
4,  1233,"Italy","ITA","Italy","7", 7,    6, 2210,Italy,ITA, 9, 9,"9","+2:39.7","1:09:25.3",4165300,159700,"2 + 14",TRUE,FALSE,"1","2","3","4","1017693","717491","760355","717511","VITTOZZI Lisa","WIERER Dorothea","BORMOLINI Thomas","HOFER Lukas","Lisa","Dorothea","Thomas","Lukas","Vittozzi","Wierer","Bormolini","Hofer","VITTOZZI L","WIERER D","BORMOLINI T","HOFER L","7-1","7-1","7-4","7-4"
4,   222,"Austria","AUT","Austria","11",11,  151, 2219,Austria,AUT,10,10,"10","+2:58.6","1:09:44.2",4184200,178600,"2 + 13",TRUE,FALSE,"1","2","3","4","1137045","1017687","451771","1245792","SCHWAIGER Julia","HAUSER Lisa Theresa","EDER Simon","LEITNER Felix","Julia","Lisa Theresa","Simon","Felix","Schwaiger","Hauser","Eder","Leitner","SCHWAIGER J","HAUSER LT","EDER S","LEITNER F","11-1","11-2","11-1","11-4"
