"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","c_ODF_IRM"
1, 918902,"OLSBU ROEISELAND Marte","OLSBU ROEISELAND M","Marte","Olsbu Røiseland","1", 1,  153, 2221,Norway,NOR, 1, 1,"1","34:46.9","34:46.9",2086900,     0,"0 + 0 + 1 + 0","1",TRUE,FALSE,NA
1,1632804,"OBERG Elvira","OBERG E","Elvira","Öberg","2", 2,  154, 2222,Sweden,SWE, 2, 2,"2","+1:36.5","36:23.4",2183400, 96500,"0 + 1 + 2 + 0","3",TRUE,FALSE,NA
1, 720075,"ECKHOFF Tiril","ECKHOFF T","Tiril","Eckhoff","11",11,  153, 2221,Norway,NOR, 3, 3,"3","+1:48.7","36:35.6",2195600,108700,"1 + 1 + 0 + 1","3",TRUE,FALSE,NA
1,1338344,"SOLA Hanna","SOLA H","Hanna","Sola","26",26,  103, 4387,Belarus,BLR, 4, 4,"4","+1:58.9","36:45.8",2205800,118900,"1 + 1 + 1 + 0","3",TRUE,FALSE,NA
1,1017701,"PERSSON Linn","PERSSON L","Linn","Persson","12",12,  154, 2222,Sweden,SWE, 5, 5,"5","+2:07.2","36:54.1",2214100,127200,"0 + 0 + 1 + 1","2",TRUE,FALSE,NA
1, 717491,"WIERER Dorothea","WIERER D","Dorothea","Wierer","3", 3,    6, 2210,Italy,ITA, 6, 6,"6","+2:09.1","36:56.0",2216000,129100,"0 + 0 + 2 + 1","3",TRUE,FALSE,NA
1,1017687,"HAUSER Lisa Theresa","HAUSER LT","Lisa Theresa","Hauser","4", 4,  151, 2219,Austria,AUT, 7, 7,"7","+2:09.8","36:56.7",2216700,129800,"0 + 0 + 1 + 1","2",TRUE,FALSE,NA
1,1245784,"SIMON Julia","SIMON J","Julia","Simon","29",29,  144, 2202,France,FRA, 8, 8,"8","+2:18.3","37:05.2",2225200,138300,"0 + 1 + 1 + 0","2",TRUE,FALSE,NA
1, 720690,"HOJNISZ-STAREGA Monika","HOJNISZ-STAREGA M","Monika","Hojnisz-Starega","16",16,  150, 2214,Poland,POL, 9, 9,"9","+2:28.8","37:15.7",2235700,148800,"2 + 0 + 0 + 0","2",TRUE,FALSE,NA
1, 844403,"FIALKOVA Paulina","FIALKOVA P","Paulína","Fialková","14",14,   14, 2233,Slovakia,SVK,10,10,"10","+2:38.8","37:25.7",2245700,158800,"0 + 2 + 0 + 0","2",TRUE,FALSE,NA
1,1023355,"NIGMATULLINA Uliana","NIGMATULLINA U","Uliana","Nigmatullina","13",13,23062,73035,ROC,ROC,11,11,"11","+2:46.3","37:33.2",2253200,166300,"0 + 2 + 1 + 0","3",TRUE,FALSE,NA
1,1626878,"VOIGT Vanessa","VOIGT V","Vanessa","Voigt","18",18,    2, 2206,Germany,GER,12,12,"12","+2:48.4","37:35.3",2255300,168400,"1 + 0 + 0 + 0","1",TRUE,FALSE,NA
1, 760227,"DZHIMA Yuliia","DZHIMA Y","Yuliia","Dzhima","8", 8,   13, 2232,Ukraine,UKR,13,13,"13","+2:49.3","37:36.2",2256200,169300,"1 + 0 + 1 + 2","4",TRUE,FALSE,NA
1,1338357,"TANDREVOLD Ingrid Landmark","TANDREVOLD IL","Ingrid Landmark","Tandrevold","5", 5,  153, 2221,Norway,NOR,14,14,"14","+2:53.0","37:39.9",2259900,173000,"0 + 0 + 1 + 0","1",TRUE,FALSE,NA
1,1017902,"PREUSS Franziska","PREUSS F","Franziska","Preuß","30",30,    2, 2206,Germany,GER,15,15,"15","+2:58.7","37:45.6",2265600,178700,"1 + 0 + 0 + 0","1",TRUE,FALSE,NA
1,2079225,"STREMOUS Alina","STREMOUS A","Alina","Stremous","10",10,   23, 2251,Moldova,MDA,16,16,"16","+3:14.4","38:01.3",2281300,194400,"0 + 0 + 1 + 1","2",TRUE,FALSE,NA
1, 703233,"HERRMANN Denise","HERRMANN D","Denise","Herrmann","22",22,    2, 2206,Germany,GER,17,17,"17","+3:20.7","38:07.6",2287600,200700,"0 + 1 + 0 + 2","3",TRUE,FALSE,NA
1,1017700,"OEBERG Hanna","OEBERG H","Hanna","Öberg","19",19,  154, 2222,Sweden,SWE,18,18,"18","+3:24.4","38:11.3",2291300,204400,"1 + 0 + 3 + 2","6",TRUE,FALSE,NA
1, 980215,"ALIMBEKAVA Dzinara","ALIMBEKAVA D","Dzinara","Alimbekava","15",15,  103, 4387,Belarus,BLR,19,19,"19","+3:26.8","38:13.7",2293700,206800,"0 + 0 + 3 + 0","3",TRUE,FALSE,NA
1, 771179,"LESHCHANKA Iryna","LESHCHANKA I","Iryna","Leshchanka","60",60,  103, 4387,Belarus,BLR,20,20,"20","+3:30.0","38:16.9",2296900,210000,"0 + 0 + 0 + 2","2",TRUE,FALSE,NA
1,1018336,"HINZ Vanessa","HINZ V","Vanessa","Hinz","55",55,    2, 2206,Germany,GER,21,21,"21","+3:34.1","38:21.0",2301000,214100,"0 + 0 + 0 + 1","1",TRUE,FALSE,NA
1, 909271,"INNERHOFER Katharina","INNERHOFER K","Katharina","Innerhofer","21",21,  151, 2219,Austria,AUT,22,22,"22","+3:37.8","38:24.7",2304700,217800,"0 + 0 + 1 + 2","3",TRUE,FALSE,NA
1,1351842,"KAZAKEVICH Irina","KAZAKEVICH I","Irina","Kazakevich","20",20,23062,73035,ROC,ROC,23,23,"23","+3:38.9","38:25.8",2305800,218900,"0 + 0 + 2 + 1","3",TRUE,FALSE,NA
1,1017698,"HAECKI Lena","HAECKI L","Lena","Häcki","23",23,  149, 2213,Switzerland,SUI,24,24,"24","+3:40.6","38:27.5",2307500,220600,"2 + 0 + 1 + 1","4",TRUE,FALSE,NA
