"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","c_ODF_IRM","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","c_Bib1","c_Bib2","c_Bib3","c_Bib4"
4,   747,"Sweden","SWE","Sweden","3", 3,  154, 2222,Sweden,SWE, 1, 1,"1","1:11:03.9","1:11:03.9",4263900,     0,"0 + 6",TRUE,FALSE,NA,"1","2","3","4","1017701","760473","1017700","1632804","PERSSON Linn","BRORSSON Mona","OEBERG Hanna","OBERG Elvira","Linn","Mona","Hanna","Elvira","Persson","Brorsson","Öberg","Öberg","PERSSON L","BRORSSON M","OEBERG H","OBERG E","3-2","3-1","3-3","3-1"
4,475655,"ROC","ROC","ROC","2", 2,23062,73035,ROC,ROC, 2, 2,"2","+12.0","1:11:15.9",4275900, 12000,"1 + 7",TRUE,FALSE,NA,"1","2","3","4","1351842","1362292","1137086","1023355","KAZAKEVICH Irina","REZTSOVA Kristina","MIRONOVA Svetlana","NIGMATULLINA Uliana","Irina","Kristina","Svetlana","Uliana","Kazakevich","Reztsova","Mironova","Nigmatullina","KAZAKEVICH I","REZTSOVA K","MIRONOVA S","NIGMATULLINA U","2-1","2-1","2-1","2-1"
4,  1084,"Germany","GER","Germany","5", 5,    2, 2206,Germany,GER, 3, 3,"3","+37.4","1:11:41.3",4301300, 37400,"0 + 6",TRUE,FALSE,NA,"1","2","3","4","1626878","1018336","1017902","703233","VOIGT Vanessa","HINZ Vanessa","PREUSS Franziska","HERRMANN Denise","Vanessa","Vanessa","Franziska","Denise","Voigt","Hinz","Preuß","Herrmann","VOIGT V","HINZ V","PREUSS F","HERRMANN D","5-1","5-2","5-1","5-1"
4,   296,"Norway","NOR","Norway","4", 4,  153, 2221,Norway,NOR, 4, 4,"4","+50.7","1:11:54.6",4314600, 50700,"2 + 8",TRUE,FALSE,NA,"1","2","3","4","1338523","720075","1338352","918902","KNOTTEN Karoline","ECKHOFF Tiril","LIEN Ida","OLSBU ROEISELAND Marte","Karoline","Tiril","Ida","Marte","Knotten","Eckhoff","Lien","Olsbu Røiseland","KNOTTEN K","ECKHOFF T","LIEN I","OLSBU ROEISELAND M","4-1","4-1","4-1","4-1"
4,  1233,"Italy","ITA","Italy","7", 7,    6, 2210,Italy,ITA, 5, 5,"5","+1:33.1","1:12:37.0",4357000, 93100,"0 + 5",TRUE,FALSE,NA,"1","2","3","4","1017693","717491","1475324","759915","VITTOZZI Lisa","WIERER Dorothea","COMOLA Samuela","SANFILIPPO Federica","Lisa","Dorothea","Samuela","Federica","Vittozzi","Wierer","Comola","Sanfilippo","VITTOZZI L","WIERER D","COMOLA S","SANFILIPPO F","7-1","7-2","7-1","7-4"
4,  2516,"France","FRA","France","1", 1,  144, 2202,France,FRA, 6, 6,"6","+2:13.0","1:13:16.9",4396900,133000,"2 + 10",TRUE,FALSE,NA,"1","2","3","4","659680","844445","1137047","1245784","BESCOND Anais","CHEVALIER-BOUCHET Anais","BRAISAZ-BOUCHET Justine","SIMON Julia","Anaïs","Anaïs","Justine","Julia","Bescond","Chevalier-Bouchet","Braisaz-Bouchet","Simon","BESCOND A","CHEVALIER-BOUCHET A","BRAISAZ-BOUCHET J","SIMON J","1-1","1-1","1-1","1-1"
4,   233,"Ukraine","UKR","Ukraine","9", 9,   13, 2232,Ukraine,UKR, 7, 7,"7","+3:00.2","1:14:04.1",4444100,180200,"1 + 6",TRUE,FALSE,NA,"1","2","3","4","771319","760227","844441","650420","PETRENKO Iryna","DZHIMA Yuliia","MERKUSHYNA Anastasiya","BILOSIUK Olena","Iryna","Yuliia","Anastasiya","Olena","Petrenko","Dzhima","Merkushyna","Bilosiuk","PETRENKO I","DZHIMA Y","MERKUSHYNA A","BILOSIUK O","9-1","9-4","9-1","9-4"
4,   347,"Czech Republic","CZE","Czech Republic","8", 8,   17, 2240,Czech Republic,CZE, 8, 8,"8","+3:02.1","1:14:06.0",4446000,182100,"1 + 8",TRUE,FALSE,NA,"1","2","3","4","823216","1338578","980274","1018300","PUSKARCIKOVA Eva","DAVIDOVA Marketa","JISLOVA Jessica","CHARVATOVA Lucie","Eva","Markéta","Jessica","Lucie","Puskarcíková","Davidová","Jislová","Charvátová","PUSKARCIKOVA E","DAVIDOVA M","JISLOVA J","CHARVATOVA L","8-1","8-3","8-3","8-3"
4,   222,"Austria","AUT","Austria","14",14,  151, 2219,Austria,AUT, 9, 9,"9","+4:03.7","1:15:07.6",4507600,243700,"3 + 7",TRUE,FALSE,NA,"1","2","3","4","923172","1017687","1475604","909271","ZDOUC Dunja","HAUSER Lisa Theresa","JUPPE Anna","INNERHOFER Katharina","Dunja","Lisa Theresa","Anna","Katharina","Zdouc","Hauser","Juppe","Innerhofer","ZDOUC D","HAUSER LT","JUPPE A","INNERHOFER K","14-1","14-4","14-1","14-4"
4,   962,"Canada","CAN","Canada","16",16,  159, 2231,Canada,CAN,10,10,"10","+4:30.4","1:15:34.3",4534300,270400,"0 + 8",TRUE,FALSE,NA,"1","2","3","4","823214","1245794","1137031","923171","LUNDER Emma","BANKES Megan","DICKSON Emily","BEAUDRY Sarah","Emma","Megan","Emily","Sarah","Lunder","Bankes","Dickson","Beaudry","LUNDER E","BANKES M","DICKSON E","BEAUDRY S","16-1","16-1","16-1","16-1"
4,   720,"United States","USA","United States","10",10,    5, 2209,United States,USA,11,11,"11","+4:47.4","1:15:51.3",4551300,287400,"2 + 9",TRUE,FALSE,NA,"1","2","3","4","823338","1338227","1635357","848468","DUNKLEE Susan","EGAN Clare","IRWIN Deedra","REID Joanne","Susan","Clare","Deedra","Joanne","Dunklee","Egan","Irwin","Reid","DUNKLEE S","EGAN C","IRWIN D","REID J","10-2","10-1","10-2","10-1"
4,   220,"China","CHN","China","18",18,   26, 2770,China,CHN,12,12,"12","+5:07.6","1:16:11.5",4571500,307600,"1 + 5",TRUE,FALSE,NA,"1","2","3","4","657144","1469807","2068290","1475309","TANG Jialin","CHU Yuanmeng","DING Yuhuan","MENG Fanqi","Jialin","Yuanmeng","Yuhuan","Fanqi","Tang","Chu","Ding","Meng","TANG J","CHU Y","DING Y","MENG F","18-1","18-2","18-1","18-4"
4,  2369,"Belarus","BLR","Belarus","6", 6,  103, 4387,Belarus,BLR,13,13,"13","+5:30.5","1:16:34.4",4594400,330500,"5 + 16",TRUE,FALSE,NA,"1","2","3","4","771179","980215","1245770","1338344","LESHCHANKA Iryna","ALIMBEKAVA Dzinara","KRUCHINKINA Elena","SOLA Hanna","Iryna","Dzinara","Elena","Hanna","Leshchanka","Alimbekava","Kruchinkina","Sola","LESHCHANKA I","ALIMBEKAVA D","KRUCHINKINA E","SOLA H","6-1","6-2","6-1","6-1"
4,   255,"Poland","POL","Poland","15",15,  150, 2214,Poland,POL,14,14,"14","+6:08.2","1:17:12.1",4632100,368200,"1 + 10",TRUE,FALSE,NA,"1","2","3","4","720690","1352000","980288","759829","HOJNISZ-STAREGA Monika","ZUK Kamila","ZBYLUT Kinga","MAKA Anna","Monika","Kamila","Kinga","Anna","Hojnisz-Starega","Zuk","Zbylut","Maka","HOJNISZ-STAREGA M","ZUK K","ZBYLUT K","MAKA A","15-1","15-2","15-1","15-4"
4,   705,"Estonia","EST","Estonia","12",12,    8, 2217,Estonia,EST,15,15,"15","LAP","LAP",NA,NA,"5 + 13",TRUE,FALSE,NA,"1","2","3","4","1137072","1119483","1137084","844449","OJA Regina","TOMINGAS Tuuli","KUELM Susan","TALIHAERM Johanna","Regina","Tuuli","Susan","Johanna","Oja","Tomingas","Külm","Talihärm","OJA R","TOMINGAS T","KUELM S","TALIHAERM J","12-2","12-1","12-1","12-4"
4,  2053,"Finland","FIN","Finland","13",13,  161, 2237,Finland,FIN,16,16,"16","LAP","LAP",NA,NA,"2 + 6",TRUE,FALSE,NA,"1","2","3","4","1137085","656616","1017667","704349","MINKKINEN Suvi","EDER Mari","JANKA Erika","KINNUNEN Nastassia","Suvi","Mari","Erika","Nastassia","Minkkinen","Eder","Jänkä","Kinnunen","MINKKINEN S","EDER M","JANKA E","KINNUNEN N","13-4","13-4","13-1","13-1"
4,   638,"Japan","JPN","Japan","17",17,   18, 2241,Japan,JPN,17,17,"17","LAP","LAP",NA,NA,"2 + 12",TRUE,FALSE,NA,"1","2","3","4","759916","1221177","1632382","1221175","TACHIZAKI Fuyuko","MAEDA Sari","HACHISUKA Asuka","TANAKA Yurie","Fuyuko","Sari","Asuka","Yurie","Tachizaki","Maeda","Hachisuka","Tanaka","TACHIZAKI F","MAEDA S","HACHISUKA A","TANAKA Y","17-1","17-3","17-3","17-3"
4,   633,"Bulgaria","BUL","Bulgaria","20",20,  148, 2211,Bulgaria,BUL,18,18,"18","LAP","LAP",NA,NA,"1 + 7",TRUE,FALSE,NA,"1","2","3","4","1351981","1351980","1949169","909250","TODOROVA Milena","ZDRAVKOVA Maria","HRISTOVA Lora","KADEVA Daniela","Milena","Maria","Lora","Daniela","Todorova","Zdravkova","Hristova","Kadeva","TODOROVA M","ZDRAVKOVA M","HRISTOVA L","KADEVA D","20-1","20-4","20-1","20-4"
4,  1294,"Slovakia","SVK","Slovakia","19",19,   14, 2233,Slovakia,SVK,19,19,"19","LAP","LAP",NA,NA,"2 + 12",TRUE,FALSE,NA,"1","2","3","4","980292","1472971","1338729","844403","FIALKOVA Ivona","HORVATOVA Henrieta","MACHYNIAKOVA Veronika","FIALKOVA Paulina","Ivona","Henrieta","Veronika","Paulína","Fialková","Horvátová","Machyniaková","Fialková","FIALKOVA I","HORVATOVA H","MACHYNIAKOVA V","FIALKOVA P","19-1","19-1","19-1","19-1"
