"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1957526,"SU Yiming","SU Y","Yiming","Su","23", 8, 26,2770,China,CHN, 1, 1,"1","182.50","182.50",182500,"89.50","93.00","33.00",TRUE,FALSE,1
1,1132578,"ROISLAND Mons","ROISLAND M","Mons","Røisland","10", 4,153,2221,Norway,NOR, 2, 2,"2","171.75","171.75",171750,"89.25","75.75","82.50",TRUE,FALSE,1
1, 981078,"PARROT Max","PARROT M","Maxence","Parrot","1",12,159,2231,Canada,CAN, 3, 3,"3","170.25","170.25",170250,"28.25","94.00","76.25",TRUE,FALSE,1
1,1643392,"KUNITAKE Hiroaki","KUNITAKE H","Hiroaki","Kunitake","27", 9, 18,2241,Japan,JPN, 4, 4,"4","166.25","166.25",166250,"82.25","50.25","84.00",TRUE,FALSE,1
1,1238960,"GERARD Red","GERARD R","Red","Gerard","2",10,  5,2209,United States,USA, 5, 5,"5","165.75","165.75",165750,"82.50","19.25","83.25",TRUE,FALSE,1
1,1428737,"VAN DER VELDEN Niek","VAN DER VELDEN N","Niek","van der Velden","19", 2,  1,2201,Netherlands,NED, 6, 6,"6","162.00","162.00",162000,"83.75","78.25","26.75",TRUE,FALSE,1
1,1359638,"CORNING Chris","CORNING C","Chris","Corning","5", 3,  5,2209,United States,USA, 7, 7,"7","156.00","156.00",156000,"92.00","35.50","64.00",TRUE,FALSE,1
1,1148764,"KLEVELAND Marcus","KLEVELAND M","Marcus","Kleveland","4", 7,153,2221,Norway,NOR, 8, 8,"8","150.00","150.00",150000,"87.75","62.25","39.00",TRUE,FALSE,1
1,1471133,"OTSUKA Takeru","OTSUKA T","Takeru","Otsuka","3",11, 18,2241,Japan,JPN, 9, 9,"9","128.75","128.75",128750,"17.25","95.00","33.75",TRUE,FALSE,1
1, 834210,"MCMORRIS Mark","MCMORRIS M","Mark","McMorris","6", 5,159,2231,Canada,CAN,10,10,"10","113.75","113.75",113750,"80.50","21.00","33.25",TRUE,FALSE,1
1, 905798,"THORGREN Sven","THORGREN S","Sven","Thorgren","9", 6,154,2222,Sweden,SWE,11,11,"11","88.50","88.50", 88500,"25.25","67.00","21.50",TRUE,FALSE,1
1,1019422,"SHARPE Darcy","SHARPE D","Darcy","Sharpe","13", 1,159,2231,Canada,CAN,12,12,"12","87.75","87.75", 87750,"20.00","82.00","5.75",TRUE,FALSE,1
