"n_SportID","n_SportTypeID","c_Sport","c_SportShort","n_Season","c_Season","c_Edition","n_EventPhaseID","n_ActiveNavigationPhaseID","n_EventID","n_EventTypeID","c_Event","c_EventShort","n_EventSort","n_GenderID","c_Gender","c_GenderShort","n_GenderEventID","c_GenderEvent","c_GenderEventShort","d_DateStartLocal","c_DateStartLocal","d_DateStartUTC","c_DateStartUTC","d_DateEndLocal","c_DateEndLocal","d_DateEndUTC","c_DateEndUTC","n_VenueGeoID","c_Venue","n_LocationGeoID","c_Location","n_CountryGeoID","c_Country","c_CountryShort","b_StartList","b_Started","b_Finished","b_HasTablePhases","n_Rank1ParticipantTypeID","c_Rank1Participant","c_Rank1ParticipantShort","n_Rank1PersonID","n_Rank1TeamID","n_Rank1NOCID","n_Rank1NOCGeoID","c_Rank1NOCGeoID","c_Rank1NOC","c_Rank1NOCShort","n_Rank1TeamMember1PersonID","c_Rank1TeamMember1Person","c_Rank1TeamMember1PersonShort","n_Rank1TeamMember2PersonID","c_Rank1TeamMember2Person","c_Rank1TeamMember2PersonShort","n_Rank2ParticipantTypeID","c_Rank2Participant","c_Rank2ParticipantShort","n_Rank2PersonID","n_Rank2TeamID","n_Rank2NOCID","n_Rank2NOCGeoID","c_Rank2NOCGeoID","c_Rank2NOC","c_Rank2NOCShort","n_Rank2TeamMember1PersonID","c_Rank2TeamMember1Person","c_Rank2TeamMember1PersonShort","n_Rank2TeamMember2PersonID","c_Rank2TeamMember2Person","c_Rank2TeamMember2PersonShort","n_Rank3ParticipantTypeID","c_Rank3Participant","c_Rank3ParticipantShort","n_Rank3PersonID","n_Rank3TeamID","n_Rank3NOCID","n_Rank3NOCGeoID","c_Rank3NOCGeoID","c_Rank3NOC","c_Rank3NOCShort","n_Rank3TeamMember1PersonID","c_Rank3TeamMember1Person","c_Rank3TeamMember1PersonShort","n_Rank3TeamMember2PersonID","c_Rank3TeamMember2Person","c_Rank3TeamMember2PersonShort","c_RSCCode"
222,3,"Snowboarding","SBD",20212022,"2021/2022","2022",1939301,2413383,10128,1,"Parallel Giant Slalom","PGS",10050,1,"Men","M",3430,"Men's Parallel Giant Slalom","Men's Parallel Giant Slalom","/Date(1644318420000+0000)/","2022-02-08T11:07:00","/Date(1644289620000+0000)/","2022-02-08T03:07:00","/Date(1644335340000+0000)/","2022-02-08T15:49:00","/Date(1644306540000+0000)/","2022-02-08T07:49:00",73856,"Genting Snow Park",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"KARL Benjamin","KARL B",571851,247,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,1,"MASTNAK Tim","MASTNAK T",922194,614,30,2783,"2783","Slovenia","SLO",NA,NA,NA,NA,NA,NA,1,"WILD Vic","WILD V",549918,475662,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,"SBDMPGS---------------SFNL000800--"
222,3,"Snowboarding","SBD",20212022,"2021/2022","2022",1939305,2413443,10130,1,"Snowboard Cross","SBX",10060,1,"Men","M",2610,"Men's Snowboard Cross","Men's Snowboard Cross","/Date(1644491700000+0000)/","2022-02-10T11:15:00","/Date(1644462900000+0000)/","2022-02-10T03:15:00","/Date(1644506700000+0000)/","2022-02-10T15:25:00","/Date(1644477900000+0000)/","2022-02-10T07:25:00",73856,"Genting Snow Park",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"HAEMMERLE Alessandro","HAEMMERLE A",911250,247,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,1,"GRONDIN Eliot","GRONDIN E",1632059,835,159,2231,"2231","Canada","CAN",NA,NA,NA,NA,NA,NA,1,"VISINTIN Omar","VISINTIN O",722574,2672,6,2210,"2210","Italy","ITA",NA,NA,NA,NA,NA,NA,"SBDMSBX---------------SFNL000800--"
222,3,"Snowboarding","SBD",20212022,"2021/2022","2022",1939303,2413425,10127,1,"Halfpipe","HP",10070,1,"Men","M",946,"Men's Halfpipe","Men's Halfpipe","/Date(1644409800000+0000)/","2022-02-09T12:30:00","/Date(1644381000000+0000)/","2022-02-09T04:30:00","/Date(1644576600000+0000)/","2022-02-11T10:50:00","/Date(1644547800000+0000)/","2022-02-11T02:50:00",73856,"Genting Snow Park",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"HIRANO Ayumu","HIRANO A",1132380,2210,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,1,"JAMES Scotty","JAMES S",764037,1544,157,2229,"2229","Australia","AUS",NA,NA,NA,NA,NA,NA,1,"SCHERRER Jan","SCHERRER J",818966,1507,149,2213,"2213","Switzerland","SUI",NA,NA,NA,NA,NA,NA,"SBDMHP----------------QUAL000300--"
222,3,"Snowboarding","SBD",20212022,"2021/2022","2022",1939309,2413503,10640,1,"Big Air","BA",10080,1,"Men","M",7954,"Men's Big Air","Men's Big Air","/Date(1644845400000+0000)/","2022-02-14T13:30:00","/Date(1644816600000+0000)/","2022-02-14T05:30:00","/Date(1644933900000+0000)/","2022-02-15T14:05:00","/Date(1644905100000+0000)/","2022-02-15T06:05:00",73850,"Big Air Shougang",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"SU Yiming","SU Y",1957526,6939,26,2770,"2770","China","CHN",NA,NA,NA,NA,NA,NA,1,"ROISLAND Mons","ROISLAND M",1132578,1197,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"PARROT Max","PARROT M",981078,835,159,2231,"2231","Canada","CAN",NA,NA,NA,NA,NA,NA,"SBDMBA----------------QUAL000300--"
222,3,"Snowboarding","SBD",20212022,"2021/2022","2022",1939307,2413485,12150,1,"Slopestyle","SBS",10090,1,"Men","M",3460,"Men's Slopestyle","Men's Slopestyle","/Date(1644150600000+0000)/","2022-02-06T12:30:00","/Date(1644121800000+0000)/","2022-02-06T04:30:00","/Date(1644239940000+0000)/","2022-02-07T13:19:00","/Date(1644211140000+0000)/","2022-02-07T05:19:00",73856,"Genting Snow Park",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"PARROT Max","PARROT M",981078,835,159,2231,"2231","Canada","CAN",NA,NA,NA,NA,NA,NA,1,"SU Yiming","SU Y",1957526,6939,26,2770,"2770","China","CHN",NA,NA,NA,NA,NA,NA,1,"MCMORRIS Mark","MCMORRIS M",834210,835,159,2231,"2231","Canada","CAN",NA,NA,NA,NA,NA,NA,"SBDMSS----------------QUAL000300--"
222,3,"Snowboarding","SBD",20212022,"2021/2022","2022",1939302,2413406,10128,1,"Parallel Giant Slalom","PGS",10050,2,"Women","W",6760,"Women's Parallel Giant Slalom","Women's Parallel Giant Slalom","/Date(1644316800000+0000)/","2022-02-08T10:40:00","/Date(1644288000000+0000)/","2022-02-08T02:40:00","/Date(1644334920000+0000)/","2022-02-08T15:42:00","/Date(1644306120000+0000)/","2022-02-08T07:42:00",73856,"Genting Snow Park",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"LEDECKA Ester","LEDECKA E",915831,1800,17,2240,"2240","Czech Republic","CZE",NA,NA,NA,NA,NA,NA,1,"ULBING Daniela","ULBING D",1252358,247,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,1,"KOTNIK Gloria","KOTNIK G",597246,614,30,2783,"2783","Slovenia","SLO",NA,NA,NA,NA,NA,NA,"SBDWPGS---------------SFNL000800--"
222,3,"Snowboarding","SBD",20212022,"2021/2022","2022",1939306,2413466,10130,1,"Snowboard Cross","SBX",10060,2,"Women","W",478,"Women's Snowboard Cross","Women's Snowboard Cross","/Date(1644404400000+0000)/","2022-02-09T11:00:00","/Date(1644375600000+0000)/","2022-02-09T03:00:00","/Date(1644422100000+0000)/","2022-02-09T15:55:00","/Date(1644393300000+0000)/","2022-02-09T07:55:00",73856,"Genting Snow Park",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"JACOBELLIS Lindsey","JACOBELLIS L",476735,1679,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,1,"TRESPEUCH Chloe","TRESPEUCH C",764262,1187,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,1,"ODINE Meryeta","ODINE M",1368671,835,159,2231,"2231","Canada","CAN",NA,NA,NA,NA,NA,NA,"SBDWSBX---------------SFNL000800--"
222,3,"Snowboarding","SBD",20212022,"2021/2022","2022",1939304,2413432,10127,1,"Halfpipe","HP",10070,2,"Women","W",2519,"Women's Halfpipe","Women's Halfpipe","/Date(1644399000000+0000)/","2022-02-09T09:30:00","/Date(1644370200000+0000)/","2022-02-09T01:30:00","/Date(1644490200000+0000)/","2022-02-10T10:50:00","/Date(1644461400000+0000)/","2022-02-10T02:50:00",73856,"Genting Snow Park",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"KIM Chloe","KIM C",1132403,1679,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,1,"CASTELLET Queralt","CASTELLET Q",595636,1386,145,2203,"2203","Spain","ESP",NA,NA,NA,NA,NA,NA,1,"TOMITA Sena","TOMITA S",1367887,2210,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,"SBDWHP----------------QUAL000300--"
222,3,"Snowboarding","SBD",20212022,"2021/2022","2022",1939310,2413514,10640,1,"Big Air","BA",10080,2,"Women","W",4094,"Women's Big Air","Women's Big Air","/Date(1644831000000+0000)/","2022-02-14T09:30:00","/Date(1644802200000+0000)/","2022-02-14T01:30:00","/Date(1644921300000+0000)/","2022-02-15T10:35:00","/Date(1644892500000+0000)/","2022-02-15T02:35:00",73850,"Big Air Shougang",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"GASSER Anna","GASSER A",1131249,247,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,1,"SADOWSKI-SYNNOTT Zoi","SADOWSKI-SYNNOTT Z",1568767,587,158,2230,"2230","New Zealand","NZL",NA,NA,NA,NA,NA,NA,1,"MURASE Kokomo","MURASE K",1780043,2210,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,"SBDWBA----------------QUAL000300--"
222,3,"Snowboarding","SBD",20212022,"2021/2022","2022",1939308,2413496,12150,1,"Slopestyle","SBS",10090,2,"Women","W",1841,"Women's Slopestyle","Women's Slopestyle","/Date(1644057900000+0000)/","2022-02-05T10:45:00","/Date(1644029100000+0000)/","2022-02-05T02:45:00","/Date(1644144540000+0000)/","2022-02-06T10:49:00","/Date(1644115740000+0000)/","2022-02-06T02:49:00",73856,"Genting Snow Park",25216,"Zhangjiakou",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"SADOWSKI-SYNNOTT Zoi","SADOWSKI-SYNNOTT Z",1568767,587,158,2230,"2230","New Zealand","NZL",NA,NA,NA,NA,NA,NA,1,"MARINO Julia","MARINO J",1368941,1679,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,1,"COADY Tess","COADY T",1471152,1544,157,2229,"2229","Australia","AUS",NA,NA,NA,NA,NA,NA,"SBDWSS----------------QUAL000300--"
