"n_SportID","c_Sport","c_SportShort","n_DateLocal","c_DateLocal","d_DateLocal","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","n_NrOfEvents","n_NrOfPhases","n_NrOfMatches","n_MedalsGold","n_MedalsSilver","n_MedalsBronze"
115,"Alpine Skiing","ALP",20220202,"2022-02-02T00:00:00","/Date(1643760000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
115,"Alpine Skiing","ALP",20220203,"2022-02-03T00:00:00","/Date(1643846400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
115,"Alpine Skiing","ALP",20220204,"2022-02-04T00:00:00","/Date(1643932800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
115,"Alpine Skiing","ALP",20220205,"2022-02-05T00:00:00","/Date(1644019200000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
115,"Alpine Skiing","ALP",20220206,"2022-02-06T00:00:00","/Date(1644105600000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
115,"Alpine Skiing","ALP",20220207,"2022-02-07T00:00:00","/Date(1644192000000+0000)/","2022-02-07T09:30:00","2022-02-07T01:30:00","2022-02-07T14:45:00","2022-02-07T06:45:00",2,3,0,2,2,2
115,"Alpine Skiing","ALP",20220208,"2022-02-08T00:00:00","/Date(1644278400000+0000)/","2022-02-08T11:00:00","2022-02-08T03:00:00","2022-02-08T11:00:00","2022-02-08T03:00:00",1,1,0,1,1,1
115,"Alpine Skiing","ALP",20220209,"2022-02-09T00:00:00","/Date(1644364800000+0000)/","2022-02-09T10:15:00","2022-02-09T02:15:00","2022-02-09T13:45:00","2022-02-09T05:45:00",1,2,0,1,1,1
115,"Alpine Skiing","ALP",20220210,"2022-02-10T00:00:00","/Date(1644451200000+0000)/","2022-02-10T10:30:00","2022-02-10T02:30:00","2022-02-10T14:15:00","2022-02-10T06:15:00",1,2,0,1,1,1
115,"Alpine Skiing","ALP",20220211,"2022-02-11T00:00:00","/Date(1644537600000+0000)/","2022-02-11T11:00:00","2022-02-11T03:00:00","2022-02-11T11:00:00","2022-02-11T03:00:00",1,1,0,1,1,1
115,"Alpine Skiing","ALP",20220212,"2022-02-12T00:00:00","/Date(1644624000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
115,"Alpine Skiing","ALP",20220213,"2022-02-13T00:00:00","/Date(1644710400000+0000)/","2022-02-13T10:15:00","2022-02-13T02:15:00","2022-02-13T15:00:00","2022-02-13T07:00:00",1,2,0,1,1,1
115,"Alpine Skiing","ALP",20220214,"2022-02-14T00:00:00","/Date(1644796800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
115,"Alpine Skiing","ALP",20220215,"2022-02-15T00:00:00","/Date(1644883200000+0000)/","2022-02-15T11:30:00","2022-02-15T03:30:00","2022-02-15T11:30:00","2022-02-15T03:30:00",1,1,0,1,1,1
